species,origin,redlist
Camelina microcarpa subsp. microcarpa,arch,NA
Camelina microcarpa subsp. pilosa,arch,NA
Camelina rumelica,neo,NA
Camelina sativa,arch,NA
Camelina sativa var. sativa,arch,NA
Camelina sativa var. zingeri,neo,NA
Campanula x iserana,neo,NA
Campanula alliariifolia,neo,NA
Campanula barbata,native,C2b
Campanula bohemica,native,C2b
Campanula bohemica x  C. rotundifolia,NA,NA
Campanula bononiensis,native,C2b
Campanula carpatica,NA,NA
Campanula cervicaria,native,C1t
Campanula gelida,native,C1r
Campanula gentilis,native,C3
Campanula glomerata,native,NA
Campanula glomerata subsp. farinosa,native,C2b
Campanula glomerata subsp. glomerata,native,NA
Campanula lactiflora,neo,NA
Campanula latifolia,native,C3
Campanula medium,neo,NA
Campanula moravica,native,C3
Campanula patula,native,NA
Campanula persicifolia,native,NA
Campanula rapunculoides,native,NA
Campanula rapunculus,neo,NA
Campanula rhomboidalis,neo,NA
Campanula rotundifolia,native,NA
Campanula rotundifolia agg.,native,NA
Campanula rotundifolia subsp. rotundifolia,native,NA
Campanula rotundifolia subsp. sudetica,native,C2r
Campanula sibirica,native,C3
Campanula sibirica subsp. sibirica,native,C3
Campanula thyrsoides,NA,NA
Campanula thyrsoides subsp. thyrsoides,NA,NA
Campanula trachelium,native,NA
Campsis radicans,NA,NA
Canna x generalis,NA,NA
Canna indica,NA,NA
Cannabis sativa,arch,NA
Cannabis sativa var. sativa,arch,NA
Cannabis sativa var. spontanea,neo,NA
Capsella bursa-pastoris,arch,NA
Capsella rubella,neo,NA
Capsicum annuum,NA,NA
Caragana arborescens,neo,NA
Caragana frutex,NA,NA
Cardamine x smejkalii,native,NA
Cardamine amara,native,NA
Cardamine amara subsp. amara,native,NA
Cardamine amara subsp. austriaca,native,NA
Cardamine amara subsp. opicii,native,C1b
Cardamine chelidonia,neo,NA
Cardamine dentata,native,C3
Cardamine dentata x  C. pratensis,NA,NA
Cardamine flexuosa,native,NA
Cardamine hirsuta,arch,NA
Cardamine impatiens,native,NA
Cardamine matthioli,native,C4a
Cardamine occulta,neo,NA
Cardamine parviflora,native,C1b
Cardamine pratensis,native,NA
Cardamine pratensis agg.,native,NA
Cardamine resedifolia,native,C1r
Cardamine trifolia,native,C3
Carduus x grenieri,native,NA
Carduus x leptocephalus,arch,NA
Carduus x orthocephalus,arch,NA
Carduus x sepincola,native,NA
Carduus x stangii,native,NA
Carduus acanthoides,arch,NA
Carduus crispus,native,NA
Carduus crispus subsp. crispus,native,NA
Carduus nutans,native,C4a
Carduus nutans subsp. nutans,native,C4a
Carduus personata,native,NA
Carduus personata subsp. personata,native,NA
Carduus tenuiflorus,neo,NA
Carex x albertii,native,NA
Carex x allolepis,native,NA
Carex x alsatica,native,NA
Carex x appeliana,native,NA
Carex x auroniensis,native,NA
Carex x beckmannii,native,NA
Carex x boenninghausiana,native,NA
Carex x bolina,native,NA
Carex x csomadensis,native,NA
Carex x decolorans,native,NA
Carex x elytroides,native,NA
Carex x evoluta,native,NA
Carex x figertii,native,NA
Carex x gaudiniana,native,NA
Carex x ginsiensis,native,NA
Carex x interjecta,native,NA
Carex x involuta,native,NA
Carex x jaegeri,native,NA
Carex x leutzii,native,NA
Carex x ligniciensis,native,NA
Carex x limnogena,native,NA
Carex x moravica,native,NA
Carex x ohmuelleriana,native,NA
Carex x prolixa,native,NA
Carex x rotae,native,NA
Carex x ruedtii,native,NA
Carex x schatzii,native,NA
Carex x strictiformis,native,NA
Carex x suziella,native,NA
Carex x toezensis,native,NA
Carex x turfosa,native,NA
Carex x villacensis,native,NA
Carex x vratislaviensis,native,NA
Carex x xanthocarpa,native,NA
Carex acuta,native,NA
Carex acuta subsp. acuta,native,NA
Carex acuta subsp. intermedia,native,C4b
Carex acutiformis,native,NA
Carex agastachys,native,NA
Carex alba,native,C2r
Carex appropinquata,native,C3
Carex aterrima,native,C2r
Carex atrata,native,C1r
Carex atrata agg.,native,NA
Carex bigelowii,native,C2r
Carex bigelowii subsp. dacica,native,C2r
Carex bohemica,native,C4a
Carex brevicollis,native,A3
Carex brizoides,native,NA
Carex brizoides x  C. pseudobrizoides,NA,NA
Carex brunnescens,native,A3
Carex buekii,native,C4a
Carex buxbaumii,native,C1r
Carex buxbaumii agg.,native,NA
Carex canescens,native,NA
Carex capillaris,native,C1r
Carex caryophyllea,native,NA
Carex cespitosa,native,C4a
Carex chordorrhiza,native,C1r
Carex curvata,native,C3
Carex davalliana,native,C2t
Carex demissa,native,NA
Carex demissa x  C. lepidocarpa,NA,NA
Carex depressa,native,C1r
Carex depressa subsp. transsilvanica,native,C1r
Carex derelicta,native,C1r
Carex diandra,native,C2t
Carex digitata,native,NA
Carex digitata var. digitata,native,NA
Carex digitata var. pallens,native,C4b
Carex dioica,native,C1b
Carex distans,native,C3
Carex disticha,native,C4a
Carex divulsa,native,C3
Carex echinata,native,NA
Carex elata,native,C2t
Carex elata subsp. elata,native,C2t
Carex elongata,native,NA
Carex ericetorum,native,C2t
Carex flacca,native,NA
Carex flacca subsp. flacca,native,NA
Carex flava,native,C4a
Carex flava agg.,native,NA
Carex flava var. alpina,native,C4a
Carex fritschii,native,C2r
Carex grayi,neo,NA
Carex hartmanii,native,C4a
Carex hirta,native,NA
Carex hordeistichos,native,C2t
Carex hostiana,native,C2t
Carex humilis,native,C4a
Carex lasiocarpa,native,C3
Carex leersii,native,C4a
Carex lepidocarpa,native,C2t
Carex leporina,native,NA
Carex leporina var. argyroglochin,native,NA
Carex leporina var. leporina,native,NA
Carex limosa,native,C2b
Carex macroura,native,C1r
Carex magellanica,native,C2r
Carex magellanica subsp. irrigua,native,C2r
Carex melanostachya,native,C2t
Carex michelii,native,C3
Carex montana,native,NA
Carex muricata,native,NA
Carex muricata agg.,native,NA
Carex muskingumensis,neo,NA
Carex nigra,native,NA
Carex nigra subsp. nigra,native,NA
Carex obtusata,native,C1r
Carex oederi,native,C2b
Carex ornithopoda,native,C3
Carex otomana,native,C4a
Carex otrubae,native,C4a
Carex pairae,native,NA
Carex pallescens,native,NA
Carex panicea,native,NA
Carex paniculata,native,C4a
Carex paniculata subsp. paniculata,native,C4a
Carex pauciflora,native,C3
Carex pediformis agg.,native,NA
Carex pendula,native,C4a
Carex pendula agg.,native,NA
Carex pilosa,native,NA
Carex pilulifera,native,NA
Carex praecox,native,NA
Carex praecox agg.,native,NA
Carex pseudobrizoides,native,C1r
Carex pseudocyperus,native,C4a
Carex pulicaris,native,C2t
Carex remota,native,NA
Carex rhizina,native,C3
Carex riparia,native,C4a
Carex rostrata,native,NA
Carex rupestris,native,C1r
Carex secalina,native,C2t
Carex spicata,native,NA
Carex stenophylla,native,C2b
Carex strigosa,native,C2r
Carex supina,native,C3
Carex sylvatica,native,NA
Carex tomentosa,native,NA
Carex umbrosa,native,C3
Carex vaginata,native,C1r
Carex vesicaria,native,NA
Carex vulpina,native,NA
Carex vulpina agg.,native,NA
Carlina acaulis,native,NA
Carlina acaulis subsp. acaulis,native,NA
Carlina acaulis subsp. caulescens,native,C1r
Carlina biebersteinii,native,C3
Carlina biebersteinii subsp. biebersteinii,native,C3
Carlina biebersteinii subsp. brevibracteata,native,C4b
Carlina biebersteinii subsp. sudetica,native,C1r
Carlina vulgaris,native,NA
Carlina vulgaris agg.,native,NA
Carpinus betulus,native,NA
Carpinus orientalis,NA,NA
Carthamus lanatus,neo,NA
Carthamus tinctorius,NA,NA
Carum carvi,native,NA
Carya ovata,NA,NA
Caryopteris x clandonensis,neo,NA
Castanea sativa,NA,NA
Catabrosa aquatica,native,C1t
Catalpa bignonioides,neo,NA
Catananche caerulea,NA,NA
Catapodium rigidum,neo,NA
Caucalis platycarpos,arch,C2b
Caucalis platycarpos subsp. muricata,arch,A2
Caucalis platycarpos subsp. platycarpos,arch,C2b
Celastrus orbiculatus,neo,NA
Celastrus scandens,NA,NA
Celosia argentea,neo,NA
Celosia argentea Cristata Group,neo,NA
Celosia argentea Plumosa Group,NA,NA
Celtis occidentalis,neo,NA
Cenchrus echinatus,neo,NA
Centaurea x austriacoides,native,NA
Centaurea x beckiana,native,NA
Centaurea x extranea,neo,NA
Centaurea x fleischeri,native,NA
Centaurea x gerstlaueri,neo,NA
Centaurea x javorkae,neo,NA
Centaurea x kupcsokiana,native,NA
Centaurea x melanocalathia,native,NA
Centaurea x similata,native,NA
Centaurea x spuria,native,NA
Centaurea x varnensis,neo,NA
Centaurea benedicta,NA,NA
Centaurea bruguiereana,neo,NA
Centaurea bruguiereana subsp. belangeriana,neo,NA
Centaurea calcitrapa,neo,NA
Centaurea carniolica,neo,NA
Centaurea cyanus,arch,NA
Centaurea diffusa,neo,NA
Centaurea erdneri,native,C3
Centaurea erdneri x  C. jacea x  C. oxylepis,NA,NA
Centaurea erdneri x  C. oxylepis,NA,NA
Centaurea jacea,native,NA
Centaurea jacea x  C. nigrescens x  C. oxylepis,NA,NA
Centaurea jacea x  C. transalpina,neo,NA
Centaurea jacea agg.,native,NA
Centaurea jacea subsp. angustifolia,native,C4b
Centaurea jacea subsp. jacea,native,NA
Centaurea macrocephala,neo,NA
Centaurea melitensis,neo,NA
Centaurea mollis,native,C1r
Centaurea montana,native,C2r
Centaurea montana agg.,native,C2r
Centaurea nemoralis,neo,NA
Centaurea nigra,neo,NA
Centaurea nigra agg.,neo,NA
Centaurea nigrescens,neo,NA
Centaurea nigrescens agg.,neo,NA
Centaurea oxylepis,native,C4a
Centaurea phrygia,native,C2b
Centaurea phrygia agg.,native,NA
Centaurea pseudophrygia,native,C4a
Centaurea pseudophrygia x  C. stenolepis,NA,NA
Centaurea scabiosa,native,NA
Centaurea scabiosa subsp. scabiosa,native,NA
Centaurea solstitialis,neo,NA
Centaurea solstitialis subsp. solstitialis,neo,NA
Centaurea stenolepis,native,C2r
Centaurea stenolepis subsp. stenolepis,native,C2r
Centaurea stoebe,native,NA
Centaurea stoebe subsp. australis,neo,NA
Centaurea stoebe subsp. stoebe,native,NA
Centaurea transalpina,neo,NA
Centaurea triumfetti,native,C3
Centaurea weldeniana,neo,NA
Centaurium x aschersonianum,native,NA
Centaurium erythraea,native,C4a
Centaurium erythraea subsp. erythraea,native,C4a
Centaurium littorale,native,C1t
Centaurium littorale subsp. compressum,native,C1t
Centaurium pulchellum,native,C3
Centranthus ruber,neo,NA
Centunculus minimus,native,C1t
Cephalanthera damasonium,native,C4a
Cephalanthera longifolia,native,C3
Cephalanthera rubra,native,C2b
Cephalaria gigantea,neo,NA
Cephalaria syriaca,neo,NA
Cephalaria transsylvanica,neo,NA
Cerastium x maureri,NA,NA
Cerastium alsinifolium,native,C1r
Cerastium alsinifolium x  C. arvense subsp. arvense,NA,NA
Cerastium arvense,native,NA
Cerastium arvense subsp. arvense,native,NA
Cerastium brachypetalum,native,C3
Cerastium brachypetalum agg.,native,NA
Cerastium brachypetalum subsp. brachypetalum,native,C3
Cerastium brachypetalum var. brachypetalum,native,NA
Cerastium brachypetalum var. eglandulosum,native,NA
Cerastium dubium,native,C2b
Cerastium fontanum,native,C2r
Cerastium fontanum agg.,native,NA
Cerastium glomeratum,native,NA
Cerastium glutinosum,native,NA
Cerastium holosteoides,native,NA
Cerastium holosteoides subsp. vulgare,native,NA
Cerastium lucorum,native,C4a
Cerastium pumilum,native,C3
Cerastium pumilum agg.,native,NA
Cerastium semidecandrum,native,NA
Cerastium semidecandrum subsp. semidecandrum,native,NA
Cerastium subtetrandrum,neo,NA
Cerastium tenoreanum,native,C1b
Cerastium tomentosum,neo,NA
Ceratocephala orthoceras,native,A1
Ceratophyllum demersum,native,NA
Ceratophyllum submersum,native,C3
Cercis siliquastrum,NA,NA
Cerinthe minor,native,C4a
Chaenomeles japonica,neo,NA
Chaenomeles speciosa,NA,NA
Chaenorhinum origanifolium,neo,NA
Chaerophyllum aromaticum,native,NA
Chaerophyllum aureum,native,NA
Chaerophyllum bulbosum,native,NA
Chaerophyllum hirsutum,native,NA
Chaerophyllum nodosum,neo,NA
Chaerophyllum temulum,native,NA
Chamaecyparis lawsoniana,neo,NA
Chamaecyparis pisifera,NA,NA
Chamaecytisus albus,native,C2r
Chamaecytisus austriacus,native,C3
Chamaecytisus elongatus,neo,NA
Chamaecytisus purpureus,NA,NA
Chamaecytisus ratisbonensis,native,C4a
Chamaecytisus supinus,native,C4a
Chamaecytisus virescens,native,C3
Chamaemelum nobile,NA,NA
Chelidonium majus,native,NA
Chenopodium x paradoxum,native,NA
Chenopodium x schulzeanum,native,NA
Chenopodium x tridentinum,neo,NA
Chenopodium acuminatum,neo,NA
Chenopodium album,native,NA
Chenopodium album agg.,native,NA
Chenopodium album subsp. album,native,NA
Chenopodium album subsp. pedunculare,arch,NA
Chenopodium berlandieri,neo,NA
Chenopodium berlandieri subsp. zschackei,neo,NA
Chenopodium bonus-henricus,arch,C4a
Chenopodium capitatum,neo,NA
Chenopodium chenopodioides,native,C1b
Chenopodium ficifolium,native,NA
Chenopodium foliosum,arch,NA
Chenopodium giganteum,neo,NA
Chenopodium glaucum,native,NA
Chenopodium hircinum,neo,NA
Chenopodium hybridum,native,NA
Chenopodium karoi,neo,NA
Chenopodium missouriense,neo,NA
Chenopodium murale,arch,C1t
Chenopodium nitrariaceum,neo,NA
Chenopodium opulifolium,native,C3
Chenopodium polyspermum,native,NA
Chenopodium probstii,neo,NA
Chenopodium quinoa,neo,NA
Chenopodium rubrum,native,NA
Chenopodium striatiforme,neo,NA
Chenopodium strictum,neo,NA
Chenopodium strictum subsp. strictum,neo,NA
Chenopodium suecicum,native,NA
Chenopodium urbicum,arch,C1t
Chenopodium vulvaria,arch,C2t
Chimaphila umbellata,native,C1t
Chloris divaricata,neo,NA
Chloris divaricata var. divaricata,neo,NA
Chloris pectinata,neo,NA
Chloris truncata,neo,NA
Chloris virgata,neo,NA
Chondrilla juncea,native,C3
Chorispora tenella,neo,NA
Chrysanthemum x morifolium,neo,NA
Chrysanthemum indicum,NA,NA
Chrysanthemum zawadskii,NA,NA
Chrysosplenium alternifolium,native,NA
Chrysosplenium oppositifolium,native,C4a
Cicer arietinum,neo,NA
Cicerbita alpina,native,C4a
Cicerbita macrophylla,neo,NA
Cicerbita macrophylla subsp. uralensis,neo,NA
Cichorium endivia,neo,NA
Cichorium endivia Endivia Group,NA,NA
Cichorium endivia Eskariol Group,NA,NA
Cichorium intybus,arch,NA
Cichorium intybus Radicosum Group,NA,NA
Cichorium intybus Sugar Loaf Group,NA,NA
Cichorium intybus Witloof Group,NA,NA
Cicuta virosa,native,C2b
Circaea x intermedia,native,NA
Circaea alpina,native,NA
Circaea lutetiana,native,NA
Cirsium x affine,native,NA
Cirsium x alpestre,native,NA
Cirsium x ambiguum,native,NA
Cirsium x aschersonii,neo,NA
Cirsium x austropannonicum,native,NA
Cirsium x bipontinum,native,NA
Cirsium x breunium,native,NA
Cirsium x celakovskyanum,arch,NA
Cirsium x erucagineum,native,NA
Cirsium x freyerianum,native,NA
Cirsium x gerhardtii,native,NA
Cirsium x heerianum,native,NA
Cirsium x hybridum,native,NA
Cirsium x kirschlegeri,native,NA
Cirsium x kornhuberi,native,NA
Cirsium x moravicum,arch,NA
Cirsium x muellneri,native,NA
Cirsium x podperae,native,NA
Cirsium x polivkae,arch,NA
Cirsium x rigens,native,NA
Cirsium x sabaudum,native,NA
Cirsium x sessile,arch,NA
Cirsium x sextenum,arch,NA
Cirsium x siegertii,native,NA
Cirsium x subalpinum,native,NA
Cirsium x subspinuligerum,native,NA
Cirsium x suspiciosum,native,NA
Cirsium x tataricum,native,NA
Cirsium x wankelii,native,NA
Cirsium x wettsteinii,native,NA
Cirsium x wimmeri,native,NA
Cirsium x winklerianum,native,NA
Cirsium acaulon,native,C4a
Cirsium acaulon x  C. canum x  C. oleraceum,NA,NA
Cirsium acaulon subsp. acaulon,native,C4a
Cirsium arvense,arch,NA
Cirsium brachycephalum,native,C1b
Cirsium canum,native,NA
Cirsium echinus,neo,NA
Cirsium eriophorum,native,C3
Cirsium heterophyllum,native,NA
Cirsium oleraceum,native,NA
Cirsium palustre,native,NA
Cirsium pannonicum,native,C3
Cirsium rivulare,native,NA
Cirsium tuberosum,neo,NA
Cirsium vulgare,native,NA
Citrullus lanatus,arch,NA
Cladium mariscus,native,C1r
Clarkia amoena,neo,NA
Clarkia pulchella,neo,NA
Clarkia unguiculata,neo,NA
Claytonia perfoliata,neo,NA
Claytonia sibirica,neo,NA
Cleistogenes serotina,native,C1r
Clematis flammula,neo,NA
Clematis integrifolia,native,C1b
Clematis recta,native,C3
Clematis tangutica,neo,NA
Clematis vitalba,native,NA
Clematis viticella,neo,NA
Cleome hassleriana,neo,NA
Clinopodium grandiflorum,neo,NA
Clinopodium menthifolium,neo,NA
Clinopodium nepeta,neo,NA
Clinopodium nepeta subsp. glandulosum,neo,NA
Clinopodium nepeta subsp. nepeta,neo,NA
Clinopodium vulgare,native,NA
Clinopodium vulgare subsp. vulgare,native,NA
Cnidium dubium,native,C2b
Cnidium silaifolium,neo,NA
Cochlearia danica,neo,NA
Cochlearia officinalis,NA,NA
Coeloglossum viride,native,C2t
Colchicum autumnale,native,NA
Coleanthus subtilis,native,C3
Coleostephus myconis,NA,NA
Collomia grandiflora,neo,NA
Colutea arborescens,neo,NA
Comarum palustre,native,C4a
Commelina communis,neo,NA
Conioselinum tataricum,native,C1r
Conium maculatum,arch,NA
Conringia austriaca,native,A1
Conringia orientalis,arch,C1t
Consolida ajacis,neo,NA
Consolida hispanica,neo,NA
Consolida regalis,arch,NA
Consolida regalis subsp. regalis,arch,NA
Convallaria majalis,native,NA
Convallaria majalis var. majalis,native,NA
Convallaria majalis var. transcaucasica,neo,NA
Convolvulus arvensis,arch,NA
Convolvulus tricolor,neo,NA
Conyza bonariensis,neo,NA
Conyza canadensis,neo,NA
Conyza sumatrensis,neo,NA
Conyza triloba,neo,NA
Corallorhiza trifida,native,C2b
Coreopsis basalis,NA,NA
Coreopsis grandiflora,NA,NA
Coreopsis lanceolata,neo,NA
Coreopsis tinctoria,neo,NA
Coreopsis verticillata,NA,NA
Coriandrum sativum,arch,NA
Corispermum gmelinii,neo,NA
Corispermum pallasii,neo,NA
Cornus alba,neo,NA
Cornus alba agg.,neo,NA
Cornus florida,NA,NA
Cornus mas,native,C4a
Cornus sanguinea,native,NA
Cornus sanguinea subsp. australis,native,C4b
Cornus sanguinea subsp. hungarica,native,C4b
Cornus sanguinea subsp. sanguinea,native,NA
Cornus sericea,neo,NA
Coronilla scorpioides,neo,NA
Coronilla vaginalis,native,C2b
Corrigiola litoralis,native,C1t
Cortaderia selloana,NA,NA
Cortusa matthioli,native,C1r
Cortusa matthioli subsp. moravica,native,C1r
Corydalis x budensis,native,NA
Corydalis x campylochila,native,NA
Corydalis x laxa,native,NA
Corydalis x samuelssonii,native,NA
Corydalis cava,native,NA
Corydalis cava subsp. cava,native,NA
Corydalis cheilanthifolia,neo,NA
Corydalis intermedia,native,C4a
Corydalis pumila,native,C3
Corydalis solida,native,C4a
Corydalis solida subsp. solida,native,C4a
Corylus avellana,native,NA
Corylus colurna,neo,NA
Corylus maxima,neo,NA
Corynephorus canescens,native,C4a
Cosmos bipinnatus,neo,NA
Cotinus coggygria,neo,NA
Cotoneaster acutifolius,neo,NA
Cotoneaster ascendens,NA,NA
Cotoneaster bullatus,neo,NA
Cotoneaster dielsianus,neo,NA
Cotoneaster divaricatus,neo,NA
Cotoneaster hjelmqvistii,neo,NA
Cotoneaster horizontalis,neo,NA
Cotoneaster integerrimus,native,C4a
Cotoneaster laxiflorus,native,C2r
Cotoneaster multiflorus,neo,NA
Cotoneaster nitens,NA,NA
Cotoneaster splendens,neo,NA
Cotoneaster veitchii,NA,NA
Cotoneaster zabelii,neo,NA
Cotula australis,neo,NA
Cotula coronopifolia,neo,NA
Crambe abyssinica,neo,NA
Crambe maritima,neo,NA
Crambe tataria,native,C2r
Crataegus x calycina,native,NA
Crataegus x calycina x  C. lindmanii,NA,NA
Crataegus x fallacina,native,NA
Crataegus x fallacina x  C. monogyna,NA,NA
Crataegus x fallacina x  C. rhipidophylla,NA,NA
Crataegus x lavallei,NA,NA
Crataegus x macrocarpa,native,NA
Crataegus x macrocarpa x  C. rhipidophylla,NA,NA
Crataegus x media,native,NA
Crataegus x media x  C. monogyna,NA,NA
Crataegus chrysocarpa,NA,NA
Crataegus coccinea,neo,NA
Crataegus crus-galli,neo,NA
Crataegus flabellata,neo,NA
Crataegus intricata,NA,NA
Crataegus laevigata,native,NA
Crataegus laevigata x  C. x macrocarpa,NA,NA
Crataegus laevigata x  C. x media,NA,NA
Crataegus laevigata x  C. lindmanii,NA,NA
Crataegus laevigata agg.,native,NA
Crataegus lindmanii,native,C4b
Crataegus lindmanii x  C. x macrocarpa,NA,NA
Crataegus lindmanii x  C. monogyna,NA,NA
Crataegus lindmanii x  C. rhipidophylla,NA,NA
Crataegus mollis,neo,NA
Crataegus monogyna,native,NA
Crataegus nigra,NA,NA
Crataegus orientalis,NA,NA
Crataegus pentagyna,NA,NA
Crataegus persimilis,neo,NA
Crataegus punctata,NA,NA
Crataegus rhipidophylla,native,C4b
Crataegus tournefortii,NA,NA
Crepis biennis,native,NA
Crepis capillaris,arch,NA
Crepis conyzifolia,native,C2b
Crepis foetida,arch,NA
Crepis foetida subsp. foetida,neo,NA
Crepis foetida subsp. rhoeadifolia,arch,C4a
Crepis mollis,native,C3
Crepis mollis subsp. mollis,native,C1b
Crepis mollis subsp. succisifolia,native,C3
Crepis nicaeensis,neo,NA
Crepis paludosa,native,NA
Crepis pannonica,native,C1r
Crepis praemorsa,native,C2b
Crepis pulchra,neo,NA
Crepis setosa,arch,C1t
Crepis sibirica,native,C1t
Crepis tectorum,arch,C3
Crepis tectorum subsp. tectorum,arch,C3
Crepis vesicaria,neo,NA
Crepis vesicaria subsp. taraxacifolia,neo,NA
Crithmum maritimum,NA,NA
Crocosmia x crocosmiiflora,neo,NA
Crocus x stellaris,NA,NA
Crocus chrysanthus,neo,NA
Crocus flavus,neo,NA
Crocus heuffelianus,native,C1b
Crocus sativus,NA,NA
Crocus speciosus,NA,NA
Crocus tommasinianus,neo,NA
Crocus vernus,native,C2r
Crocus vernus agg.,native,NA
Cruciata laevipes,native,NA
Cruciata pedemontana,native,C2r
Cruciata verna,native,NA
Crypsis aculeata,native,C1t
Crypsis alopecuroides,native,C1t
Crypsis schoenoides,native,C1t
Cryptogramma crispa,native,C1r
Cryptomeria japonica,NA,NA
Cucumis melo,arch,NA
Cucumis sativus,arch,NA
Cucurbita ficifolia,NA,NA
Cucurbita maxima,neo,NA
Cucurbita maxima Hokkaido Group,NA,NA
Cucurbita maxima Maxima Group,NA,NA
Cucurbita maxima Turbaniformis Group,NA,NA
Cucurbita moschata,NA,NA
Cucurbita pepo,neo,NA
Cucurbita pepo Giromontiina Group,NA,NA
Cucurbita pepo Microcarpina Group,NA,NA
Cucurbita pepo Patisonnina Group,NA,NA
Cucurbita pepo Pepo Group,NA,NA
Cucurbita pepo Styriaca Group,NA,NA
Cuscuta approximata,native,C1r
Cuscuta approximata subsp. approximata,native,C1r
Cuscuta campestris,neo,NA
Cuscuta epilinum,arch,A1
Cuscuta epithymum,native,NA
Cuscuta epithymum subsp. epithymum,native,NA
Cuscuta europaea,native,NA
Cuscuta lupuliformis,native,C1t
Cyclamen coum,NA,NA
Cyclamen purpurascens,native,C4a
Cyclospermum leptophyllum,neo,NA
Cydonia oblonga,arch,NA
Cymbalaria muralis,arch,NA
Cymbalaria muralis subsp. muralis,arch,NA
Cymbalaria pallida,neo,NA
Cynodon dactylon,arch,C4a
Cynoglossum montanum,native,C2b
Cynoglossum officinale,native,NA
Cynosurus cristatus,native,NA
Cynosurus echinatus,neo,NA
Cyperus congestus,neo,NA
Cyperus difformis,neo,NA
Cyperus eragrostis,neo,NA
Cyperus esculentus,NA,NA
Cyperus flavescens,native,C1t
Cyperus fuscus,native,C3
Cyperus glomeratus,neo,NA
Cyperus michelianus,native,C1b
Cyperus rotundus,neo,NA
Cypripedium calceolus,native,C2b
Cypripedium reginae,neo,NA
Cystopteris bulbifera,neo,NA
Cystopteris fragilis,native,NA
Cystopteris sudetica,native,C1b
Cytisus nigricans,native,NA
Cytisus nigricans subsp. nigricans,native,NA
Cytisus procumbens,native,C3
Cytisus scoparius,neo,NA
Cytisus scoparius subsp. scoparius,neo,NA
Dactylis x intercedens,native,NA
Dactylis glomerata,native,NA
Dactylis glomerata agg.,native,NA
Dactylis glomerata subsp. glomerata,native,NA
Dactylis glomerata subsp. slovenica,native,C4b
Dactylis polygama,native,NA
Dactyloctenium aegyptium,neo,NA
Dactylorhiza x aschersoniana,native,NA
Dactylorhiza x braunii,native,NA
Dactylorhiza x braunii nothosubsp. braunii,native,NA
Dactylorhiza x braunii nothosubsp. smitakii,native,NA
Dactylorhiza x carnea,native,NA
Dactylorhiza x dufftiana,native,NA
Dactylorhiza x jestrebiensis,native,NA
Dactylorhiza x kerneriorum,native,NA
Dactylorhiza x prochazkana,native,NA
Dactylorhiza x ruppertii,native,NA
Dactylorhiza x silvae-gabretae,native,NA
Dactylorhiza x vermeuleniana,native,NA
Dactylorhiza bohemica,native,C1r
Dactylorhiza carpatica,native,NA
Dactylorhiza carpatica x  D. fuchsii subsp. fuchsii,native,NA
Dactylorhiza carpatica x  D. lapponica,native,NA
Dactylorhiza carpatica x  D. majalis,native,NA
Dactylorhiza curvifolia,native,A1
Dactylorhiza fuchsii,native,NA
Dactylorhiza fuchsii subsp. fuchsii,native,C4a
Dactylorhiza fuchsii subsp. fuchsii x  D. traunsteineri subsp. turfosa,native,NA
Dactylorhiza fuchsii subsp. psychrophila,native,C2r
Dactylorhiza fuchsii subsp. sooana,native,C1r
Dactylorhiza incarnata,native,C1r
Dactylorhiza incarnata subsp. incarnata,native,C1b
Dactylorhiza incarnata subsp. pulchella,native,C1r
Dactylorhiza lapponica,native,NA
Dactylorhiza lapponica x  D. majalis,native,NA
Dactylorhiza lapponica subsp. rhaetica,native,NA
Dactylorhiza maculata,native,C1b
Dactylorhiza maculata agg.,native,NA
Dactylorhiza maculata subsp. averyanovii,native,NA
Dactylorhiza maculata subsp. elodes,native,NA
Dactylorhiza maculata subsp. maculata,native,C1b
Dactylorhiza maculata subsp. transsilvanica,native,C1t
Dactylorhiza majalis,native,C3
Dactylorhiza majalis x  D. traunsteineri subsp. turfosa,native,NA
Dactylorhiza majalis agg.,native,NA
Dactylorhiza majalis subsp. majalis,native,C3
Dactylorhiza sambucina,native,C2t
Dactylorhiza traunsteineri,native,NA
Dactylorhiza traunsteineri subsp. traunsteineri,native,C1b
Dactylorhiza traunsteineri subsp. turfosa,native,C1r
Dahlia pinnata,neo,NA
Danthonia x breviaristata,native,NA
Danthonia alpina,native,C1b
Danthonia decumbens,native,NA
Daphne cneorum,native,C1t
Daphne mezereum,native,NA
Darmera peltata,neo,NA
Dasiphora arbuscula,NA,NA
Dasiphora fruticosa,neo,NA
Dasiphora glabrata,NA,NA
Dasiphora parvifolia,NA,NA
Dasypyrum villosum,neo,NA
Datura ferox,neo,NA
Datura inoxia,neo,NA
Datura stramonium,arch,NA
Datura stramonium var. stramonium,arch,NA
Datura stramonium var. tatula,neo,NA
Daucus carota,native,NA
Daucus carota subsp. carota,native,NA
Daucus carota subsp. sativus,arch,NA
Delphinium elatum,native,C2r
Delphinium grandiflorum,neo,NA
Dentaria x paxiana,native,NA
Dentaria bulbifera,native,NA
Dentaria enneaphyllos,native,C3
Dentaria glandulosa,native,C3
Deschampsia cespitosa,native,NA
Deschampsia cespitosa subsp. cespitosa,native,NA
Deschampsia cespitosa subsp. parviflora,native,C4b
Descurainia sophia,arch,NA
Deutzia gracilis,NA,NA
Deutzia scabra,neo,NA
Dianthus x dufftii,native,NA
