species,origin,redlist
Aconitum firmum subsp. moravicum,native,C2b
Aconitum lycoctonum,native,C4a
Aconitum lycoctonum subsp. lycoctonum,native,C4a
Aconitum lycoctonum subsp. vulparia,native,C4b
Aconitum napellus agg.,native,NA
Aconitum plicatum,native,C3
Aconitum plicatum subsp. plicatum,native,NA
Aconitum plicatum subsp. sudeticum,native,NA
Aconitum variegatum,native,C3
Acorus calamus,neo,NA
Actaea europaea,native,C1r
Actaea spicata,native,NA
Actinidia deliciosa,neo,NA
Adenophora liliifolia,native,C1b
Adenostyles alliariae,native,C4a
Adenostyles alliariae subsp. alliariae,native,C4a
Adiantum capillus-veneris,neo,NA
Adonis aestivalis,arch,C3
Adonis aestivalis subsp. aestivalis,arch,C3
Adonis annua,neo,NA
Adonis annua subsp. annua,neo,NA
Adonis flammea,arch,C1t
Adonis vernalis,native,C2b
Adoxa moschatellina,native,NA
Aegilops cylindrica,neo,NA
Aegilops geniculata,neo,NA
Aegopodium podagraria,native,NA
Aesculus x carnea,neo,NA
Aesculus flava,NA,NA
Aesculus hippocastanum,neo,NA
Aesculus pavia,NA,NA
Aethionema grandiflorum,NA,NA
Aethusa cynapioides,native,C4a
Aethusa cynapium,native,NA
Aethusa cynapium agg.,native,NA
Ageratina altissima,neo,NA
Ageratum houstonianum,neo,NA
Agrimonia eupatoria,native,NA
Agrimonia eupatoria subsp. eupatoria,native,NA
Agrimonia procera,native,C3
Agropyron pectinatum,native,C1r
Agrostemma githago,arch,C1t
Agrostis x murbeckii,NA,NA
Agrostis alpina,native,C1r
Agrostis canina,native,NA
Agrostis canina agg.,native,NA
Agrostis capillaris,native,NA
Agrostis capillaris x  A. vinealis,NA,NA
Agrostis gigantea,native,NA
Agrostis gigantea x  A. stolonifera,NA,NA
Agrostis rupestris,native,C2r
Agrostis rupestris subsp. rupestris,native,C2r
Agrostis scabra,neo,NA
Agrostis stolonifera,native,NA
Agrostis stolonifera x  A. vinealis,NA,NA
Agrostis stolonifera agg.,native,NA
Agrostis vinealis,native,NA
Ailanthus altissima,neo,NA
Aira caryophyllea,native,C1t
Aira elegantissima,neo,NA
Aira praecox,native,C2b
Ajuga x adulterina,native,NA
Ajuga x hybrida,native,NA
Ajuga x pseudopyramidalis,native,NA
Ajuga chamaepitys,arch,C1t
Ajuga chamaepitys subsp. chamaepitys,arch,C1t
Ajuga chamaepitys subsp. chia,NA,A3
Ajuga genevensis,native,NA
Ajuga pyramidalis,native,C2b
Ajuga reptans,native,NA
Akebia quinata,NA,NA
Alcea biennis,native,C2b
Alcea biennis subsp. biennis,native,C2b
Alcea rosea,NA,NA
Alcea rugosa,NA,NA
Alchemilla acutiloba,native,NA
Alchemilla alpina,NA,NA
Alchemilla baltica,native,C1b
Alchemilla conjuncta,neo,NA
Alchemilla crinita,native,NA
Alchemilla cymatophylla,native,NA
Alchemilla effusa,native,C2r
Alchemilla epipsila,NA,NA
Alchemilla filicaulis,native,NA
Alchemilla filicaulis subsp. filicaulis,native,C4b
Alchemilla filicaulis subsp. vestita,native,A2
Alchemilla fissa,native,C1r
Alchemilla flabellata,native,A2
Alchemilla glabra,native,NA
Alchemilla glabricaulis,native,C4b
Alchemilla glaucescens,native,NA
Alchemilla gruneica,native,C3
Alchemilla micans,native,NA
Alchemilla mollis,neo,NA
Alchemilla monticola,native,NA
Alchemilla obtusa,native,C4b
Alchemilla obtusa subsp. obtusa,native,C2b
Alchemilla obtusa subsp. trapezialis,native,C4b
Alchemilla plicata,native,NA
Alchemilla propinqua,native,C4b
Alchemilla reniformis,native,C2r
Alchemilla sericata,NA,NA
Alchemilla speciosa,neo,NA
Alchemilla straminea,native,C3
Alchemilla suavis,native,C2r
Alchemilla subcrenata,native,NA
Alchemilla subglobosa,native,NA
Alchemilla tytthantha,neo,NA
Alchemilla walasii,native,C4b
Alchemilla xanthochlora,native,NA
Aldrovanda vesiculosa,native,A1
Alhagi maurorum,neo,NA
Alisma gramineum,native,C2b
Alisma lanceolatum,native,NA
Alisma plantago-aquatica,native,NA
Alliaria petiolata,native,NA
Allium x proliferum,NA,NA
Allium angulosum,native,C3
Allium atropurpureum,neo,NA
Allium atroviolaceum,neo,NA
Allium caeruleum,neo,NA
Allium carinatum,native,C3
Allium cepa,arch,NA
Allium cepa Aggregatum Group,NA,NA
Allium cepa Cepa Group,NA,NA
Allium cristophii,neo,NA
Allium fistulosum,NA,NA
Allium flavum,native,C3
Allium flavum subsp. flavum,native,C3
Allium fuscum,neo,NA
