species,height_min,height_max,height_mean
Centaurium littorale,0.05,0.34,0.195
Centaurium pulchellum,0.01,0.2,0.105
Centranthus ruber,0.5,1,0.75
Centunculus minimus,0.02,0.09,0.055
Cephalanthera damasonium,0.2,0.6,0.4
Cephalanthera longifolia,0.2,0.5,0.35
Cephalanthera rubra,0.3,0.7,0.5
Cephalaria gigantea,1.4,2.5,1.95
Cerastium alsinifolium,0.05,0.1,0.075
Cerastium arvense subsp. arvense,0.05,0.3,0.175
Cerastium brachypetalum subsp. brachypetalum,0.1,0.4,0.25
Cerastium dubium,0.08,0.3,0.19
Cerastium fontanum,0.2,0.4,0.3
Cerastium glomeratum,0.05,0.25,0.15
Cerastium glutinosum,0.05,0.2,0.125
Cerastium holosteoides,0.05,0.4,0.225
Cerastium lucorum,0.3,0.7,0.5
Cerastium pumilum,0.05,0.2,0.125
Cerastium semidecandrum subsp. semidecandrum,0.05,0.15,0.1
Cerastium tenoreanum,0.1,0.4,0.25
Cerastium tomentosum,0.1,0.35,0.225
Ceratocephala orthoceras,0.02,0.1,0.06
Ceratophyllum demersum,0.3,1.5,0.9
Ceratophyllum submersum,0.3,1.2,0.75
Cercis siliquastrum,5,10,7.5
Cerinthe minor,0.15,0.6,0.375
Chaenomeles japonica,0.6,1,0.8
Chaenomeles speciosa,1,3,2
Chaenorhinum origanifolium,NA,0.4,NA
Chaerophyllum aromaticum,0.5,1.8,1.15
Chaerophyllum aureum,0.5,1.2,0.85
Chaerophyllum bulbosum,0.8,2,1.4
Chaerophyllum hirsutum,0.5,1.2,0.85
Chaerophyllum nodosum,0.3,1,0.65
Chaerophyllum temulum,0.2,1,0.6
Chamaecyparis lawsoniana,2,30,16
Chamaecyparis pisifera,2,30,16
Chamaecytisus albus,0.2,0.6,0.4
Chamaecytisus austriacus,0.3,0.7,0.5
Chamaecytisus ratisbonensis,0.1,0.3,0.2
Chamaecytisus supinus,0.2,0.7,0.45
Chamaecytisus virescens,0.2,0.7,0.45
Chelidonium majus,0.3,0.9,0.6
Chenopodium acuminatum,0.5,1,0.75
Chenopodium album subsp. album,0.1,1.8,0.95
Chenopodium album subsp. pedunculare,0.1,0.4,0.25
Chenopodium berlandieri subsp. zschackei,0.7,1.5,1.1
Chenopodium bonus-henricus,0.2,0.8,0.5
Chenopodium capitatum,0.2,0.6,0.4
Chenopodium chenopodioides,0.1,0.5,0.3
Chenopodium ficifolium,0.4,1.5,0.95
Chenopodium foliosum,0.2,0.8,0.5
Chenopodium glaucum,0.1,0.7,0.4
Chenopodium hircinum,0.8,1.5,1.15
Chenopodium hybridum,0.4,1,0.7
Chenopodium karoi,0.1,0.3,0.2
Chenopodium missouriense,0.8,1.8,1.3
Chenopodium murale,0.2,1,0.6
Chenopodium nitrariaceum,0.2,0.4,0.3
Chenopodium opulifolium,0.4,0.7,0.55
Chenopodium polyspermum,0.1,0.6,0.35
Chenopodium probstii,0.8,1.8,1.3
Chenopodium quinoa,0.7,1.5,1.1
Chenopodium rubrum,0.05,0.6,0.325
Chenopodium striatiforme,0.3,0.5,0.4
Chenopodium strictum,0.8,1.8,1.3
Chenopodium suecicum,0.4,0.9,0.65
Chenopodium urbicum,0.5,1,0.75
Chenopodium vulvaria,0.05,0.4,0.225
Chimaphila umbellata,0.1,0.25,0.175
Chondrilla juncea,0.3,1,0.65
Chorispora tenella,0.1,0.3,0.2
Chrysanthemum indicum,0.3,1.5,0.9
Chrysosplenium alternifolium,0.1,0.2,0.15
Chrysosplenium oppositifolium,0.03,0.15,0.09
Cicer arietinum,0.2,1,0.6
Cicerbita alpina,0.7,2.5,1.6
Cicerbita macrophylla subsp. uralensis,0.6,1.8,1.2
Cichorium endivia,0.3,1,0.65
Cichorium intybus,0.3,1,0.65
Cicuta virosa,0.6,1.2,0.9
Circaea x intermedia,0.1,0.4,0.25
Circaea alpina,0.05,0.2,0.125
Circaea lutetiana,0.2,0.8,0.5
Cirsium acaulon,0.06,0.3,0.18
Cirsium arvense,0.4,1.6,1
Cirsium brachycephalum,0.5,1.2,0.85
Cirsium canum,0.5,1.2,0.85
Cirsium echinus,0.4,0.6,0.5
Cirsium eriophorum,0.5,1.5,1
Cirsium heterophyllum,0.5,1.5,1
Cirsium oleraceum,0.5,1.7,1.1
Cirsium palustre,0.6,2.6,1.6
Cirsium pannonicum,0.3,1.2,0.75
Cirsium rivulare,0.3,1.2,0.75
Cirsium tuberosum,0.3,1.2,0.75
Cirsium vulgare,0.3,2,1.15
Citrullus lanatus,0.8,2,1.4
Cladium mariscus,0.8,2,1.4
Clarkia pulchella,NA,0.6,NA
Clarkia unguiculata,NA,1,NA
Claytonia perfoliata,0.07,0.2,0.135
Claytonia sibirica,0.05,0.4,0.225
Cleistogenes serotina,0.3,0.6,0.45
Clematis flammula,2,5,3.5
Clematis integrifolia,0.25,0.6,0.425
Clematis recta,0.8,1.5,1.15
Clematis tangutica,1,3,2
Clematis vitalba,2,15,8.5
Clematis viticella,2,4,3
Clinopodium grandiflorum,0.2,0.7,0.45
Clinopodium menthifolium,0.15,0.7,0.425
Clinopodium nepeta,0.2,0.7,0.45
Clinopodium vulgare,0.1,0.8,0.45
Cnidium dubium,0.3,1,0.65
Cochlearia danica,0.1,0.2,0.15
Cochlearia officinalis,0.15,0.3,0.225
Coeloglossum viride,0.05,0.3,0.175
Colchicum autumnale,0.1,0.4,0.25
Coleanthus subtilis,0.03,0.08,0.055
Colutea arborescens,1,5,3
Comarum palustre,0.2,1,0.6
Commelina communis,0.2,0.7,0.45
Conioselinum tataricum,0.4,1.2,0.8
Conium maculatum,0.5,3.5,2
Conringia austriaca,0.15,0.8,0.475
Conringia orientalis,0.1,0.6,0.35
Consolida ajacis,0.3,1,0.65
Consolida hispanica,0.2,0.8,0.5
Consolida regalis subsp. regalis,0.15,1.2,0.675
Convallaria majalis,0.1,0.3,0.2
Convolvulus arvensis,0.1,0.7,0.4
Convolvulus tricolor,0.2,0.4,0.3
Conyza canadensis,0.1,1.5,0.8
Corallorhiza trifida,0.05,0.18,0.115
Coreopsis tinctoria,0.2,1,0.6
Coriandrum sativum,0.4,0.7,0.55
Corispermum gmelinii,0.15,0.5,0.325
Corispermum pallasii,0.1,0.5,0.3
Cornus alba,1,3,2
Cornus mas,2,6,4
Cornus sanguinea,2,5,3.5
Cornus sericea,1,2.5,1.75
Coronilla vaginalis,0.15,0.4,0.275
Corrigiola litoralis,0.05,0.2,0.125
Cortusa matthioli,0.15,0.3,0.225
Corydalis cava subsp. cava,0.1,0.4,0.25
Corydalis cheilanthifolia,0.1,0.3,0.2
Corydalis intermedia,0.05,0.25,0.15
Corydalis pumila,0.06,0.2,0.13
Corydalis solida,0.1,0.25,0.175
Corylus avellana,2,6,4
Corylus colurna,12,20,16
Corylus maxima,3,5,4
Corynephorus canescens,0.1,0.4,0.25
Cosmos bipinnatus,0.7,1.5,1.1
Cotinus coggygria,1,3,2
Cotoneaster bullatus,1,3,2
Cotoneaster divaricatus,1,2,1.5
Cotoneaster horizontalis,0.3,0.5,0.4
Cotoneaster integerrimus,0.5,1.5,1
Cotoneaster laxiflorus,1.5,2.5,2
Cotoneaster zabelii,1,2,1.5
Cotula coronopifolia,0.08,0.2,0.14
Crambe abyssinica,0.3,0.8,0.55
Crambe maritima,0.3,0.8,0.55
Crambe tataria,0.3,0.8,0.55
Crataegus x calycina,2,5,3.5
Crataegus x fallacina,2,7,4.5
Crataegus x lavallei,4,7,5.5
Crataegus x macrocarpa,2,5,3.5
Crataegus x media,2,5,3.5
Crataegus chrysocarpa,1.5,7,4.25
Crataegus coccinea,2.5,10,6.25
Crataegus crus-galli,4,8,6
Crataegus intricata,1.5,4,2.75
Crataegus laevigata,1,10,5.5
Crataegus lindmanii,2,4,3
Crataegus monogyna,2,10,6
Crataegus persimilis,3,7,5
Crataegus rhipidophylla,2,8,5
Crepis biennis,0.3,1.2,0.75
Crepis capillaris,0.05,0.8,0.425
Crepis conyzifolia,0.2,0.5,0.35
Crepis foetida,0.1,0.5,0.3
Crepis mollis,0.3,0.9,0.6
Crepis nicaeensis,0.3,0.9,0.6
Crepis paludosa,0.3,1,0.65
Crepis pannonica,0.2,0.9,0.55
Crepis praemorsa,0.15,0.7,0.425
Crepis setosa,0.15,0.5,0.325
Crepis sibirica,0.3,1.5,0.9
Crepis tectorum,0.05,1,0.525
Crepis vesicaria,0.2,0.8,0.5
Crocosmia x crocosmiiflora,0.5,0.9,0.7
Crocus chrysanthus,0.04,0.08,0.06
Crocus flavus,0.08,0.15,0.115
Crocus heuffelianus,0.1,0.2,0.15
Crocus sativus,0.05,0.15,0.1
Crocus vernus,0.05,0.15,0.1
Cruciata laevipes,0.2,0.6,0.4
Cruciata pedemontana,0.1,0.4,0.25
Cruciata verna,0.1,0.35,0.225
Crypsis aculeata,0.03,0.3,0.165
Crypsis alopecuroides,0.05,0.3,0.175
Crypsis schoenoides,0.03,0.3,0.165
Cryptogramma crispa,0.15,0.3,0.225
Cucumis melo,0.5,1.5,1
Cucumis sativus,0.6,2,1.3
Cucurbita maxima,2,5,3.5
Cucurbita pepo,0.2,12,6.1
Cuscuta approximata,0.2,0.4,0.3
Cuscuta campestris,0.15,0.4,0.275
Cuscuta epilinum,0.2,0.4,0.3
Cuscuta epithymum subsp. epithymum,0.15,0.5,0.325
Cuscuta europaea,0.3,1.5,0.9
Cuscuta lupuliformis,0.5,3,1.75
Cyclamen purpurascens,0.05,0.12,0.085
Cydonia oblonga,1.5,6,3.75
Cymbalaria muralis subsp. muralis,0.1,0.4,0.25
Cymbalaria pallida,0.1,0.25,0.175
Cynodon dactylon,0.1,0.4,0.25
Cynoglossum montanum,0.4,0.9,0.65
Cynoglossum officinale,0.3,0.9,0.6
Cynosurus cristatus,0.2,0.6,0.4
Cynosurus echinatus,0.2,0.6,0.4
Cyperus eragrostis,0.2,0.7,0.45
Cyperus flavescens,0.05,0.4,0.225
Cyperus fuscus,0.05,0.4,0.225
Cyperus michelianus,0.05,0.25,0.15
Cypripedium calceolus,0.2,0.45,0.325
Cystopteris bulbifera,0.2,0.7,0.45
Cystopteris fragilis,0.08,0.25,0.165
Cystopteris sudetica,0.1,0.2,0.15
Cytisus nigricans,0.3,2,1.15
Cytisus procumbens,0.2,0.7,0.45
Cytisus scoparius subsp. scoparius,0.5,2.5,1.5
Dactylis glomerata subsp. glomerata,0.5,1,0.75
Dactylis glomerata subsp. slovenica,1,1.8,1.4
Dactylis polygama,0.5,1.2,0.85
Dactylorhiza bohemica,0.2,0.45,0.325
Dactylorhiza carpatica,0.3,0.5,0.4
Dactylorhiza curvifolia,0.15,0.45,0.3
Dactylorhiza fuchsii,0.15,1,0.575
Dactylorhiza incarnata,0.15,1,0.575
Dactylorhiza lapponica,0.1,0.25,0.175
Dactylorhiza maculata,0.25,0.7,0.475
Dactylorhiza majalis subsp. majalis,0.2,0.7,0.45
Dactylorhiza sambucina,0.1,0.3,0.2
Dactylorhiza traunsteineri subsp. traunsteineri,0.1,0.4,0.25
Dactylorhiza traunsteineri subsp. turfosa,0.12,0.26,0.19
Dahlia pinnata,0.25,2,1.125
Danthonia alpina,0.3,0.6,0.45
Danthonia decumbens,0.15,0.4,0.275
Daphne cneorum,0.1,0.3,0.2
Daphne mezereum,0.3,1,0.65
Darmera peltata,0.5,0.7,0.6
Dasiphora fruticosa,0.3,1.5,0.9
Dasypyrum villosum,0.2,1,0.6
Datura ferox,0.5,1,0.75
Datura inoxia,0.5,1,0.75
Datura stramonium,0.3,1.2,0.75
Daucus carota,0.2,0.7,0.45
Delphinium elatum,0.5,2,1.25
Dentaria bulbifera,0.3,0.6,0.45
Dentaria enneaphyllos,0.2,0.3,0.25
Dentaria glandulosa,0.2,0.3,0.25
Deschampsia cespitosa subsp. cespitosa,0.7,1.5,1.1
Deschampsia cespitosa subsp. parviflora,0.6,0.8,0.7
Descurainia sophia,0.2,0.8,0.5
Deutzia gracilis,0.5,1,0.75
Dianthus arenarius,0.05,0.15,0.1
Dianthus armeria,0.3,0.5,0.4
Dianthus barbatus subsp. barbatus,0.3,0.6,0.45
Dianthus carthusianorum subsp. capillifrons,0.12,0.25,0.185
Dianthus carthusianorum subsp. carthusianorum,0.15,0.4,0.275
Dianthus carthusianorum subsp. latifolius,0.2,0.6,0.4
Dianthus carthusianorum subsp. sudeticus,0.15,0.25,0.2
Dianthus caryophyllus,0.2,0.6,0.4
Dianthus chinensis,0.3,0.45,0.375
Dianthus deltoides,0.12,0.3,0.21
Dianthus gratianopolitanus,0.08,0.25,0.165
Dianthus lumnitzeri,0.1,0.25,0.175
Dianthus moravicus,0.1,0.25,0.175
Dianthus pontederae,0.15,0.4,0.275
Dianthus superbus,0.3,0.7,0.5
Dianthus sylvaticus,0.2,0.6,0.4
Dictamnus albus,0.4,1,0.7
Diervilla lonicera,0.5,1,0.75
Digitalis grandiflora,0.4,1,0.7
Digitalis lanata,0.4,0.8,0.6
Digitalis lutea,0.5,0.8,0.65
Digitalis purpurea,0.6,1.8,1.2
Digitaria ischaemum,0.1,0.3,0.2
Digitaria sanguinalis,0.2,0.8,0.5
Diphasiastrum x issleri,0.1,0.2,0.15
Diphasiastrum x zeilleri,0.1,0.3,0.2
Diphasiastrum alpinum,0.05,0.1,0.075
Diphasiastrum complanatum,0.1,0.3,0.2
Diphasiastrum tristachyum,0.1,0.4,0.25
Diplotaxis muralis,0.15,0.5,0.325
Diplotaxis tenuifolia,0.3,0.8,0.55
Dipsacus fullonum,0.8,2,1.4
Dipsacus laciniatus,0.8,2,1.4
Dipsacus pilosus,0.8,1.7,1.25
Dipsacus sativus,1,2,1.5
Dipsacus strigosus,1.2,2,1.6
Dittrichia graveolens,0.15,0.5,0.325
Doronicum austriacum,0.4,1.5,0.95
Doronicum columnae,0.2,0.6,0.4
Doronicum orientale,0.2,0.5,0.35
Doronicum pardalianches,0.5,1,0.75
Doronicum plantagineum,0.4,1,0.7
Dorycnium germanicum,0.25,0.5,0.375
Dorycnium herbaceum,0.3,0.7,0.5
Draba muralis,0.15,0.3,0.225
Draba nemorosa,0.1,0.2,0.15
Dracocephalum austriacum,0.2,0.4,0.3
Dracocephalum moldavica,0.2,0.5,0.35
Dracocephalum thymiflorum,0.1,0.5,0.3
Drosera x obovata,0.05,0.2,0.125
Drosera anglica,0.05,0.25,0.15
Drosera intermedia,0.02,0.06,0.04
Drosera rotundifolia,0.04,0.2,0.12
Drymocallis rupestris,0.2,0.5,0.35
Dryopteris borreri,0.3,1.2,0.75
Dryopteris cambrensis,0.2,1,0.6
Dryopteris carthusiana,0.2,0.8,0.5
Dryopteris cristata,0.2,0.7,0.45
Dryopteris dilatata,0.2,1.2,0.7
Dryopteris expansa,0.2,0.8,0.5
Dryopteris filix-mas,0.3,1.3,0.8
Dryopteris remota,0.3,0.9,0.6
Duchesnea indica,0.1,0.2,0.15
Dysphania ambrosioides,0.3,0.9,0.6
Dysphania botrys,0.2,0.7,0.45
Dysphania melanocarpa,0.1,0.3,0.2
Dysphania pumilio,0.1,0.6,0.35
Dysphania schraderiana,0.2,0.9,0.55
Ecballium elaterium,0.3,1.2,0.75
Echinochloa colona,0.1,0.7,0.4
Echinochloa crus-galli,0.3,1,0.65
Echinocystis lobata,2,6,4
Echinops exaltatus,0.6,2,1.3
Echinops ritro,0.3,0.7,0.5
Echinops sphaerocephalus,0.6,2.2,1.4
Echium maculatum,0.2,1,0.6
Echium vulgare,0.2,1.7,0.95
Egeria densa,0.3,1,0.65
Eichhornia crassipes,0.05,0.25,0.15
Elaeagnus angustifolia,5,10,7.5
Elaeagnus commutata,1.5,2.5,2
Elaeagnus umbellata,2,4,3
Elatine alsinastrum,0.1,0.8,0.45
Elatine hexandra,0.01,0.02,0.015
Elatine hydropiper,0.01,0.02,0.015
Elatine orthosperma,0.01,0.02,0.015
Elatine triandra,0.01,0.02,0.015
Eleocharis acicularis,0.02,0.1,0.06
Eleocharis mamillata,0.2,0.5,0.35
Eleocharis ovata,0.05,0.3,0.175
Eleocharis palustris,0.2,0.6,0.4
Eleocharis quinqueflora,0.07,0.2,0.135
Eleocharis uniglumis,0.2,0.4,0.3
Eleusine indica,0.1,0.5,0.3
Elodea canadensis,0.3,1.5,0.9
Elodea nuttallii,0.3,1.5,0.9
Elsholtzia ciliata,0.3,0.7,0.5
Elymus caninus,0.3,1.2,0.75
Elymus hispidus,0.3,1.1,0.7
Elymus repens subsp. repens,0.3,1.5,0.9
Empetrum hermaphroditum,0.1,0.5,0.3
Empetrum nigrum,0.1,0.3,0.2
Epilobium adenocaulon,0.2,1.2,0.7
Epilobium alpestre,0.2,1,0.6
Epilobium alsinifolium,0.07,0.35,0.21
Epilobium anagallidifolium,0.02,0.2,0.11
Epilobium angustifolium,0.5,2,1.25
Epilobium brachycarpum,0.3,0.8,0.55
Epilobium collinum,0.05,0.4,0.225
Epilobium dodonaei,0.2,1.3,0.75
Epilobium hirsutum,0.5,1.5,1
Epilobium lamyi,0.2,1,0.6
Epilobium lanceolatum,0.2,0.6,0.4
Epilobium montanum,0.2,1,0.6
Epilobium nutans,0.05,0.2,0.125
Epilobium obscurum,0.2,0.8,0.5
Epilobium palustre,0.1,0.7,0.4
Epilobium parviflorum,0.2,0.8,0.5
Epilobium roseum,0.2,0.9,0.55
Epilobium tetragonum,0.2,0.9,0.55
Epimedium alpinum,0.2,0.3,0.25
Epipactis albensis,0.1,0.25,0.175
Epipactis atrorubens,0.15,0.5,0.325
Epipactis distans,0.2,0.7,0.45
Epipactis futakii,0.2,0.6,0.4
Epipactis greuteri,0.3,0.65,0.475
Epipactis helleborine,0.2,0.9,0.55
Epipactis leptochila,0.25,0.7,0.475
Epipactis leutei,0.3,0.6,0.45
Epipactis microphylla,0.15,0.3,0.225
Epipactis moravica,0.1,0.3,0.2
Epipactis muelleri,0.25,0.6,0.425
Epipactis neglecta,0.25,0.5,0.375
Epipactis palustris,0.2,0.6,0.4
Epipactis pontica,0.07,0.25,0.16
Epipactis pseudopurpurata,0.1,0.25,0.175
Epipactis purpurata,0.25,0.6,0.425
Epipactis tallosii,0.15,0.35,0.25
Epipactis voethii,0.2,0.45,0.325
Epipogium aphyllum,0.05,0.25,0.15
Equisetum arvense subsp. arvense,0.1,0.7,0.4
Equisetum fluviatile,0.3,1.5,0.9
Equisetum hyemale,0.3,1.2,0.75
Equisetum palustre,0.1,0.6,0.35
Equisetum pratense,0.1,0.5,0.3
Equisetum ramosissimum,0.2,0.8,0.5
Equisetum sylvaticum,0.1,0.6,0.35
Equisetum telmateia,0.5,2,1.25
Equisetum variegatum,0.05,0.4,0.225
Eragrostis albensis,0.15,0.7,0.425
Eragrostis minor,0.05,0.4,0.225
Eragrostis pilosa,0.1,0.3,0.2
Eranthis hyemalis,0.05,0.15,0.1
Erechtites hieraciifolius,0.3,2.5,1.4
Erica carnea,0.15,0.5,0.325
Erica tetralix,0.15,0.6,0.375
Erigeron acris,0.1,0.6,0.35
Erigeron angulosus,0.1,0.35,0.225
Erigeron annuus,0.4,1.5,0.95
Erigeron macrophyllus,0.3,1.2,0.75
Erigeron muralis,0.1,0.6,0.35
Erigeron podolicus,0.35,1.2,0.775
Erigeron strigosus,0.4,1.5,0.95
Eriophorum angustifolium,0.2,0.6,0.4
Eriophorum gracile,0.1,0.5,0.3
Eriophorum latifolium,0.2,0.6,0.4
Eriophorum vaginatum,0.2,0.8,0.5
Erodium cicutarium,0.1,0.5,0.3
Erodium moschatum,0.2,0.5,0.35
Erophila spathulata,0.03,0.12,0.075
Erophila verna,0.03,0.2,0.115
Eruca sativa,0.2,0.6,0.4
Erucastrum gallicum,0.2,0.8,0.5
Erucastrum nasturtiifolium,0.3,0.8,0.55
Eryngium campestre,0.3,0.6,0.45
Eryngium planum,0.3,0.7,0.5
Erysimum andrzejowskianum,0.4,1,0.7
Erysimum cheiranthoides,0.15,0.6,0.375
Erysimum cheiri,0.25,0.6,0.425
Erysimum crepidifolium,0.15,0.6,0.375
Erysimum diffusum,0.3,0.8,0.55
Erysimum durum,0.5,1.2,0.85
Erysimum odoratum,0.3,0.9,0.6
Erysimum repandum,0.1,0.4,0.25
Erysimum virgatum,0.6,1.1,0.85
Erythronium dens-canis,0.1,0.3,0.2
Eschscholzia californica,0.2,0.8,0.5
Euclidium syriacum,0.05,0.4,0.225
Eudianthe coeli-rosa,NA,0.5,NA
Euonymus europaeus,2,5,3.5
Euonymus verrucosus,1,4,2.5
Eupatorium cannabinum,0.5,1.6,1.05
Euphorbia x pseudovirgata,0.4,1,0.7
Euphorbia agraria,NA,0.8,NA
Euphorbia amygdaloides,0.25,0.45,0.35
Euphorbia angulata,0.3,0.5,0.4
Euphorbia chamaesyce,0.02,0.05,0.035
Euphorbia cyparissias,0.15,0.3,0.225
Euphorbia dulcis,0.2,0.5,0.35
Euphorbia epithymoides,0.2,0.5,0.35
Euphorbia esula,0.3,1,0.65
Euphorbia exigua,0.05,0.2,0.125
Euphorbia falcata,0.1,0.2,0.15
Euphorbia helioscopia,0.1,0.35,0.225
Euphorbia humifusa,0.02,0.05,0.035
Euphorbia illirica,0.4,0.8,0.6
Euphorbia lathyris,0.6,1.4,1
Euphorbia lucida,0.6,1.2,0.9
Euphorbia maculata,0.02,0.05,0.035
Euphorbia marginata,0.3,0.5,0.4
Euphorbia myrsinites,0.1,0.3,0.2
Euphorbia palustris,0.5,1.2,0.85
Euphorbia peplus,0.05,0.25,0.15
Euphorbia platyphyllos,0.15,0.5,0.325
Euphorbia prostrata,0.02,0.1,0.06
Euphorbia salicifolia,0.3,0.7,0.5
Euphorbia seguieriana,0.1,0.5,0.3
Euphorbia stricta,0.3,0.6,0.45
Euphorbia taurinensis,0.3,0.4,0.35
Euphorbia virgata,0.3,0.8,0.55
Euphrasia coerulea,0.05,0.25,0.15
Euphrasia micrantha,0.05,0.3,0.175
Euphrasia nemorosa,0.05,0.4,0.225
Euphrasia officinalis subsp. picta,0.1,0.3,0.2
Euphrasia officinalis subsp. rostkoviana,0.1,0.4,0.25
Euphrasia stricta,0.05,0.4,0.225
Euphrasia tatrae,0.03,0.15,0.09
Eurybia divaricata,0.2,0.8,0.5
Eurybia macrophylla,0.3,1.2,0.75
Fagopyrum esculentum,0.4,0.7,0.55
Fagopyrum tataricum,0.3,0.8,0.55
Fagus sylvatica,35,40,37.5
Falcaria vulgaris,0.4,0.9,0.65
Fallopia aubertii,2,6,4
Fallopia convolvulus,0.1,0.4,0.25
Fallopia dumetorum,0.5,2,1.25
Ferulago confusa,0.8,1.3,1.05
Festuca albensis,0.2,0.5,0.35
Festuca altissima,0.5,1.5,1
Festuca amethystina,0.5,1,0.75
Festuca arundinacea,0.6,1.5,1.05
Festuca brevipila,0.2,0.6,0.4
Festuca csikhegyensis,0.15,0.6,0.375
Festuca drymeja,0.7,1.2,0.95
Festuca filiformis,0.2,0.4,0.3
Festuca gigantea,0.5,1.5,1
Festuca heterophylla,0.5,1.2,0.85
Festuca ovina s. l.,0.2,0.6,0.4
Festuca pallens,0.15,0.6,0.375
Festuca pratensis,0.4,1,0.7
Festuca psammophila,0.3,0.6,0.45
Festuca pseudodalmatica,0.2,0.7,0.45
Festuca pulchra,0.2,0.4,0.3
Festuca rubra subsp. commutata,0.3,0.9,0.6
Festuca rubra subsp. fallax,0.5,1,0.75
Festuca rubra subsp. juncea,0.2,0.7,0.45
Festuca rubra subsp. rubra,0.2,1,0.6
Festuca rupicola,0.2,0.7,0.45
Festuca supina,0.2,0.4,0.3
Festuca valesiaca,0.2,0.6,0.4
Festuca versicolor subsp. versicolor,0.15,0.3,0.225
Ficaria calthifolia,0.05,0.15,0.1
Ficaria verna subsp. verna,0.05,0.15,0.1
Ficus carica,0.5,2,1.25
Filago arvensis,0.1,0.4,0.25
Filago germanica,0.05,0.4,0.225
Filago lutescens,0.05,0.3,0.175
Filago minima,0.05,0.2,0.125
Filago pyramidata,0.05,0.3,0.175
Filipendula kamtschatica,1,2.5,1.75
Filipendula ulmaria,0.5,2,1.25
Filipendula vulgaris,0.1,1,0.55
Foeniculum vulgare,0.5,0.8,0.65
Forsythia x intermedia,2,3,2.5
Forsythia suspensa,2,4,3
Fragaria x ananassa,0.1,0.45,0.275
Fragaria moschata,0.15,0.3,0.225
Fragaria vesca,0.05,0.25,0.15
Fragaria viridis subsp. viridis,0.05,0.2,0.125
Frangula alnus,1,4,2.5
Fraxinus angustifolia,20,35,27.5
Fraxinus excelsior,20,35,27.5
Fraxinus ornus,6,15,10.5
Fraxinus pennsylvanica,15,25,20
Fritillaria imperialis,0.6,1,0.8
Fritillaria meleagris,0.15,0.3,0.225
Fumana procumbens,0.1,0.3,0.2
Fumaria officinalis,0.1,0.4,0.25
Fumaria rostellata,0.15,0.4,0.275
Fumaria schleicheri,0.15,0.3,0.225
Fumaria vaillantii subsp. vaillantii,0.1,0.3,0.2
Gagea bohemica,0.02,0.1,0.06
Gagea lutea,0.1,0.25,0.175
Gagea minima,0.1,0.15,0.125
Gagea pratensis,0.1,0.25,0.175
Gagea pusilla,0.05,0.1,0.075
Gagea transversalis,0.05,0.2,0.125
Gagea villosa,0.05,0.2,0.125
Gaillardia pulchella,0.2,0.5,0.35
Galanthus nivalis,0.1,0.3,0.2
Galatella cana,0.3,0.6,0.45
Galatella linosyris,0.15,0.4,0.275
Galega officinalis,0.4,1,0.7
Galeobdolon argentatum,0.15,0.5,0.325
Galeobdolon luteum,0.1,0.25,0.175
Galeobdolon montanum,0.25,0.6,0.425
Galeopsis angustifolia,0.15,0.4,0.275
Galeopsis bifida,0.1,0.6,0.35
Galeopsis ladanum,0.05,0.5,0.275
Galeopsis pernhofferi,0.3,0.6,0.45
Galeopsis pubescens,0.2,0.5,0.35
Galeopsis segetum,0.1,0.7,0.4
Galeopsis speciosa,0.6,1.5,1.05
Galeopsis tetrahit,0.4,0.9,0.65
Galinsoga parviflora,0.2,0.6,0.4
Galinsoga quadriradiata,0.2,0.6,0.4
Galium x pomeranicum,0.3,1.3,0.8
Galium album,0.3,1.4,0.85
Galium aparine,0.8,1.8,1.3
Galium austriacum,0.15,0.25,0.2
Galium boreale,0.2,0.7,0.45
Galium boreale subsp. boreale,0.3,0.7,0.5
Galium boreale subsp. exoletum,0.2,0.4,0.3
Galium elongatum,0.3,1.2,0.75
Galium glaucum,0.3,0.9,0.6
Galium intermedium,0.3,1.2,0.75
Galium mollugo,0.4,1.6,1
Galium murale,0.1,0.2,0.15
Galium odoratum,0.1,0.4,0.25
Galium palustre,0.2,0.6,0.4
Galium parisiense,0.05,0.4,0.225
Galium pumilum,0.15,0.5,0.325
Galium rivale,0.4,1.3,0.85
Galium rotundifolium,0.1,0.4,0.25
Galium rubioides,0.4,1,0.7
Galium saxatile,0.1,0.3,0.2
Galium spurium,0.15,1.5,0.825
Galium sudeticum,0.07,0.2,0.135
Galium sylvaticum,0.3,1.4,0.85
Galium tricornutum,0.1,0.6,0.35
Galium uliginosum,0.2,0.5,0.35
Galium valdepilosum,0.1,0.3,0.2
Galium verrucosum,0.1,0.3,0.2
Galium verum,0.3,1.2,0.75
Galium wirtgenii,0.3,1.2,0.75
Gastridium ventricosum,NA,0.4,NA
Gaudinia fragilis,0.1,1.2,0.65
Genista germanica,0.2,0.6,0.4
Genista pilosa,0.15,0.3,0.225
Genista sagittalis,0.1,0.3,0.2
Genista tinctoria,0.3,1,0.65
Gentiana acaulis,0.03,0.1,0.065
Gentiana asclepiadea,0.2,0.7,0.45
Gentiana cruciata,0.12,0.45,0.285
Gentiana lutea,0.5,1.1,0.8
Gentiana pannonica,0.1,0.9,0.5
Gentiana pneumonanthe,0.15,0.55,0.35
Gentiana punctata,0.2,0.6,0.4
Gentiana verna subsp. verna,0.05,0.13,0.09
Gentianella amarella,0.15,0.55,0.35
