species,height_min,height_max,height_mean
Allium sphaerocephalon subsp. sphaerocephalon,0.3,0.8,0.55
Allium stipitatum,1,1.5,1.25
Allium strictum,0.25,0.5,0.375
Allium ursinum,0.1,0.45,0.275
Allium victorialis,0.3,0.8,0.55
Allium vineale,0.3,0.8,0.55
Allium zebdanense,0.25,0.4,0.325
Alnus alnobetula,1,3,2
Alnus glutinosa,10,35,22.5
Alnus incana,6,20,13
Alnus rugosa,2,4,3
Alopecurus aequalis,0.1,0.25,0.175
Alopecurus geniculatus,0.15,0.4,0.275
Alopecurus myosuroides,0.2,0.7,0.45
Alopecurus pratensis,0.5,1,0.75
Alopecurus rendlei,0.1,0.5,0.3
Althaea armeniaca,0.5,1.5,1
Althaea hirsuta,0.25,0.4,0.325
Althaea officinalis,0.7,1.8,1.25
Althaea taurinensis,1,2,1.5
Alyssum alyssoides,0.05,0.3,0.175
Alyssum montanum,0.05,0.35,0.2
Alyssum murale,0.25,0.7,0.475
Amaranthus albus,0.1,0.7,0.4
Amaranthus blitoides,0.1,0.6,0.35
Amaranthus blitum subsp. blitum,0.1,0.8,0.45
Amaranthus caudatus,0.3,1.2,0.75
Amaranthus crispus,0.1,0.6,0.35
Amaranthus cruentus,0.2,1,0.6
Amaranthus deflexus,0.1,0.9,0.5
Amaranthus graecizans,0.1,0.7,0.4
Amaranthus hybridus,0.2,1.8,1
Amaranthus hypochondriacus,0.5,1.5,1
Amaranthus palmeri,0.1,2,1.05
Amaranthus powellii,0.2,1.2,0.7
Amaranthus retroflexus,0.1,2,1.05
Amaranthus rudis,0.5,1.5,1
Amaranthus viridis,0.1,0.9,0.5
Ambrosia artemisiifolia,0.2,1.5,0.85
Ambrosia psilostachya,0.3,0.8,0.55
Ambrosia trifida,0.3,3,1.65
Amelanchier alnifolia,2,4,3
Amelanchier lamarckii,2,10,6
Amelanchier spicata,2,7,4.5
Amorpha fruticosa,1,4,2.5
Anacamptis coriophora,0.15,0.3,0.225
Anacamptis morio,0.07,0.35,0.21
Anacamptis palustris,0.25,0.5,0.375
Anacamptis pyramidalis,0.2,0.5,0.35
Anacyclus clavatus,0.2,0.5,0.35
Anagallis arvensis,0.06,0.5,0.28
Anagallis foemina,0.05,0.4,0.225
Anaphalis margaritacea,0.3,0.8,0.55
