RELEVE_NR,COUNTRY,REFERENCE,TABLE_NR,NR_IN_TAB,COVERSCALE,PROJECT,AUTHOR,DATE,SYNTAXON,SURF_AREA,UTM,ALTITUDE,EXPOSITION,INCLINATIO,COV_TOTAL,COV_TREES,COV_SHRUBS,COV_HERBS,COV_MOSSES,COV_LICHEN,COV_ALGAE,COV_LITTER,COV_WATER,COV_ROCK,TREE_HIGH,TREE_LOW,SHRUB_HIGH,SHRUB_LOW,HERB_HIGH,HERB_LOW,HERB_MAX,CRYPT_HIGH,MOSS_IDENT,LICH_IDENT,REMARKS,COORD_CODE,SYNTAX_OLD,RESURVEY,FOR_EVA,RS_PROJECT,RS_SITE,RS_PLOT,RS_OBSERV,PLOT_SHAPE,MANIPULATE,MANIPTYP,LOC_METHOD,DATA_OWNER,EVA_ACCESS,LONGITUDE,LATITUDE,PRECISION,LOCALITY,BIAS_MIN,BIAS_GPS,CEBA_GRID,FIELD_NR,HABITAT,GEOLOGY,SOIL,WATER_PH,S_PH_H2O,S_PH_KCL,S_PH_CACL2,SOIL_PH,CONDUCT,NR_ORIG,HLOUBK_CM,DNO,CEL_PLO_M2,ZAROST_PLO,ESY_CODE,ESY_NAME,COV_WOOD,SOIL_DPT,TRAMPLING,PLOT_TYPE,RS_CODE,RS_PROJTYP,RADIATION,HEAT,LES,NELES
183130,CZ,,,,02,,0832,20070808,LCA,100.00,,370,180,15,-1,65,0,55,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Orig. number=48,01,32BA,,,,,,,,,,,,0,163137.80,491114.00,0,"Brno, Kohoutovice; 950 m JZ od kostela",0,8,,48/2007,,,,0.00,4.69,3.69,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183131,CZ,,,,02,,0832,20080702,LB,100.00,,444,180,9,-1,75,1,25,5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,32,,,,,,,,,,,,0,164736.10,491346.70,0,"Hostěnice; Přír.park Říčky; 1,6 km JV od kaple",0,12,,51/2008,,,,0.00,4.41,4.06,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183132,CZ,,,,02,,0832,20080702,LBB,100.00,,445,200,9,-1,80,5,20,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,32AB,,,,,,,,,,,,0,164700.10,491406.50,0,Hostěnice; Přír. park Říčky; 600 m VJV od kaple,0,6,,52/2008,,,,0.00,4.24,3.87,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183133,CZ,,,,02,,0832,20080702,LB,100.00,,378,150,25,-1,75,0,35,5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,32,,,,,,,,,,,,0,164621.90,491321.10,0,Pozořice; 2 km SZ od kostela,0,8,,53/2008,,,,0.00,6.86,6.90,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183134,CZ,,,,02,,0832,20080702,LBB01,100.00,,438,,0,-1,85,5,70,5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,32AB01,,,,,,,,,,,,0,164522.00,491407.60,0,"Hostěnice; 1,4 km Z od kaple",0,5,,54/2008,,,,0.00,5.89,5.67,0.00,0.00,0.0,0,,,0,0,LBB01,Galio sylvatici-Carpinetum betuli,0,0,,,,,0.0000,0.000,0,0
183135,CZ,,,,02,,0832,20080703,LDA01,100.00,,401,250,25,-1,70,20,20,10,0,0,0,0,15,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny; Hieracium sabau,01,33AA01,,,,,,,,,,,,0,163409.70,491804.80,0,Lelekovice; 650 m JZ od rozhledny Babí lom,0,6,,55/2008,,,,0.00,4.01,3.66,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183136,CZ,,,,02,,0832,20080703,LBB,100.00,,399,280,30,-1,65,0,35,5,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny; Orig. number=56,01,32AB,,,,,,,,,,,,0,163408.40,491808.50,0,Lelekovice; 600 m ZJZ od rozhledny Babí lom,0,7,,56/2008,,,,0.00,4.21,3.95,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183137,CZ,,,,02,,0832,20080703,LBB,100.00,,388,200,25,-1,65,5,60,2,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny; Hieracium sabau,01,32AB,,,,,,,,,,,,0,163944.20,491805.00,0,Adamov; 550 m V od kostela,0,5,,57/2008,,,,0.00,4.73,4.49,0.00,0.00,0.0,0,,,0,0,LCC01,Sorbo torminalis-Quercetum,0,0,,,,,0.0000,0.000,0,0
183138,CZ,,,,02,,0832,20080709,LCA,100.00,,328,30,5,-1,65,0,15,5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,32BA,,,,,,,,,,,,0,160041.10,484948.20,0,"Popice, NP Podyjí; 1 km SSZ od kostela",0,6,,58/2008,,,,0.00,3.97,3.74,0.00,0.00,0.0,0,,,0,0,LCC01,Sorbo torminalis-Quercetum,0,0,,,,,0.0000,0.000,0,0
183139,CZ,,,,02,,0832,20080709,LCA,100.00,,386,190,5,-1,60,2,55,10,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,32BA,,,,,,,,,,,,0,155950.00,485002.70,0,"Konice, NP Podyjí; 2,1 km Z od kostela",0,4,,59/2008,,,,0.00,4.08,3.74,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183140,CZ,,,,02,,0832,20080709,LCA,100.00,,370,,0,-1,65,0,60,15,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,32BA,,,,,,,,,,,,0,160006.50,485011.40,0,"Konice, NP Podyjí; 1,8 km ZSZ od kostela",0,5,,60/2008,,,,0.00,3.78,3.35,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
