SPECIES_NR,LETTERCODE,SYNONYM,TurbovegCzechiaSlovakia,Kaplan,ExpertSystem,nonvascular
4666,GERAMOL,FALSE,Geranium molle,Geranium molle,Geranium molle,0
4667,GERAPAL,FALSE,Geranium palustre,Geranium palustre,Geranium palustre,0
4668,GERAPHA,FALSE,Geranium phaeum,Geranium phaeum,Geranium phaeum,0
4669,GERAP-L,FALSE,Geranium phaeum ssp. lividum,Geranium phaeum ssp. lividum,Geranium phaeum ssp. lividum,0
4671,GERAPLA,FALSE,Geranium platypetalum,Geranium platypetalum,Geranium platypetalum,0
4670,GERAP-P,FALSE,Geranium phaeum ssp. phaeum,Geranium phaeum,Geranium phaeum,0
4672,GERAPRA,FALSE,Geranium pratense,Geranium pratense,Geranium pratense,0
4673,GERAPUR,FALSE,Geranium purpureum,Geranium purpureum,Geranium purpureum,0
4674,GERAPUS,FALSE,Geranium pusillum,Geranium pusillum,Geranium pusillum,0
4675,GERAPYR,FALSE,Geranium pyrenaicum,Geranium pyrenaicum,Geranium pyrenaicum,0
13490,GERAREF,FALSE,Geranium reflexum,Geranium reflexum,Geranium reflexum,0
4677,GERAROB,FALSE,Geranium robertianum,Geranium robertianum,Geranium robertianum,0
4678,GERAROT,FALSE,Geranium rotundifolium,Geranium rotundifolium,Geranium rotundifolium,0
4679,GERASAN,FALSE,Geranium sanguineum,Geranium sanguineum,Geranium sanguineum,0
4680,GERASIB,FALSE,Geranium sibiricum,Geranium sibiricum,Geranium sibiricum,0
4683,GERA-SP,FALSE,Geranium species,Geranium species,Geranium species,0
4681,GERASYL,FALSE,Geranium sylvaticum,Geranium sylvaticum,Geranium sylvaticum,0
4682,GERAVER,FALSE,Geranium versicolor,Geranium versicolor,Geranium versicolor,0
13491,GEUM*GA,FALSE,Geum x gajewskii (G. macrophyllum x urbanum),Geum x gajewskii (G. macrophyllum x urbanum),Geum x gajewskii (G. macrophyllum x urbanum),0
13492,GEUM*IN,FALSE,Geum x intermedium (G. rivale x urbanum),Geum x intermedium,Geum x intermedium,0
13493,GEUM*SP,FALSE,Geum x spurium (G. aleppicum x urbanum),Geum species,Geum species,0
4684,GEUMALE,FALSE,Geum aleppicum,Geum aleppicum,Geum aleppicum,0
4691,GEUMCOC,FALSE,Geum coccineum,Geum coccineum,Geum coccineum,0
4690,GEUMM*R,FALSE,Geum x sudeticum (G. montanum x rivale),Geum x sudeticum,Geum x sudeticum,0
4692,GEUMMAC,FALSE,Geum macrophyllum,Geum macrophyllum,Geum macrophyllum,0
4685,GEUMMON,FALSE,Geum montanum,Geum montanum,Geum montanum,0
4686,GEUMREP,FALSE,Geum reptans,Geum reptans,Geum reptans,0
4687,GEUMRIV,FALSE,Geum rivale,Geum rivale,Geum rivale,0
4693,GEUM-SP,FALSE,Geum species,Geum species,Geum species,0
4688,GEUMURB,FALSE,Geum urbanum,Geum urbanum,Geum urbanum,0
4689,GEUMVER,FALSE,Geum vernum,Geum vernum,Geum vernum,0
13494,GILIACH,FALSE,Gilia achilleifolia,Gilia achilleifolia,Gilia achilleifolia,0
4697,GILI-SP,FALSE,Gilia species,Gilia species,Gilia species,0
4696,GILITRI,FALSE,Gilia tricolor,Gilia tricolor,Gilia tricolor,0
13495,GINKBIL,FALSE,Ginkgo biloba,Ginkgo biloba,Ginkgo biloba,0
13496,GINK-SP,FALSE,Ginkgo species,Ginkgo species,Ginkgo species,0
13497,GLAD*HO,FALSE,Gladiolus x hortulanus,Gladiolus hortulanus,Gladiolus hortulanus,0
4698,GLADCOM,FALSE,Gladiolus communis,Gladiolus communis,Gladiolus communis,0
4699,GLADILL,FALSE,Gladiolus illyricus,Gladiolus illyricus,Gladiolus illyricus,0
4700,GLADIMB,FALSE,Gladiolus imbricatus,Gladiolus imbricatus,Gladiolus imbricatus,0
4701,GLADPAL,FALSE,Gladiolus palustris,Gladiolus palustris,Gladiolus palustris,0
4702,GLAD-SP,FALSE,Gladiolus species,Gladiolus species,Gladiolus species,0
4703,GLAUCOR,FALSE,Glaucium corniculatum,Glaucium corniculatum,Glaucium corniculatum,0
4704,GLAUFLA,FALSE,Glaucium flavum,Glaucium flavum,Glaucium flavum,0
