SPECIES_NR,LETTERCODE,SHORTNAME,ABBREVIAT,SYNONYM,VALID_NR
6154,LEPUGEM,Leptodontiu gemmascens,Leptodontium gemmascens,FALSE,6154
6155,LEPUSTY,Leptodontium styriacum,Leptodontium styriacum,FALSE,6155
6156,LEPU-SP,Leptodontium species,Leptodontium species,FALSE,6156
6157,LEPGBIA,Leptogium biatorinum,Leptogium biatorinum,FALSE,6157
6158,LEPGBUR,Leptogium burnetiae,Leptogium burnetiae,FALSE,6158
6159,LEPGCOR,Leptogium corniculatum,Leptogium corniculatum,FALSE,6159
6160,LEPGCOT,Leptogium corticola,Leptogium corticola,FALSE,6160
6161,LEPGCRE,Leptogium cretaceum,Leptogium cretaceum,FALSE,6161
6162,LEPGCYA,Leptogium cyanescens,Leptogium cyanescens,FALSE,6162
6163,LEPGDIF,Leptogium diffractum,Leptogium diffractum,FALSE,6163
6164,LEPGFUR,Leptogium furfuraceum,Leptogium furfuraceum,FALSE,6164
6165,LEPGGEL,Leptogium gelatinosum,Leptogium gelatinosum,FALSE,6165
6166,LEPGHIL,Leptogium hildenbrandi,Leptogium hildenbrandii,FALSE,6166
6167,LEPGIMB,Leptogium imbricatum,Leptogium imbricatum,FALSE,6167
6168,LEPGLIC,Leptogium lichenoides,Leptogium lichenoides,FALSE,6168
6169,LEPGL;L,Lepto liche var. liche,Leptogium lichenoides var. lichenoides,FALSE,6169
6170,LEPGL;P,Lepto liche var. pulvi,Leptogium lichenoides var. pulvinatum,FALSE,6170
6171,LEPGMIN,Leptogium minutissimum,Leptogium minutissimum,FALSE,6171
6172,LEPGPLI,Leptogium plicatile,Leptogium plicatile,FALSE,6172
6173,LEPGSAT,Leptogium saturninum,Leptogium saturninum,FALSE,6173
6174,LEPGSCH,Leptogium schraderi,Leptogium schraderi,FALSE,6174
6175,LEPGTEN,Leptogium tenuissimum,Leptogium tenuissimum,FALSE,6175
6176,LEPGTER,Leptogium teretiusculu,Leptogium teretiusculum,FALSE,6176
6177,LEPG-SP,Leptogium species,Leptogium species,FALSE,6177
6178,LEPHATO,Leptorhapis atomaria,Leptorhapis atomaria,FALSE,6178
6179,LEPHEPI,Leptorhapis epidermidi,Leptorhapis epidermidis,FALSE,6179
6180,LEPHLUC,Leptorhapis lucida,Leptorhapis lucida,FALSE,6180
6181,LEPHMAG,Leptorhapis maggiana,Leptorhapis maggiana,FALSE,6181
6182,LEPHPAT,Leptorhapis patzaltii,Leptorhapis patzaltii,FALSE,6182
6183,LEPHWIE,Leptorhapis wienkampii,Leptorhapis wienkampii,FALSE,6183
6184,LEPH-SP,Leptorhapis species,Leptorhapis species,FALSE,6184
6185,LEPSCUN,Leptoscyphu cuneifoliu,Leptoscyphus cuneifolius,FALSE,6185
6186,LEPS-SP,Leptoscyphus species,Leptoscyphus species,FALSE,6186
6187,LEPPGEO,Leptosphaer geographic,Leptosphaeria geographicola,FALSE,6187
6188,LEPPSTE,Leptosphaer stereocaul,Leptosphaeria stereocaulicola,FALSE,6188
6189,LEPP-SP,Leptosphaeria species,Leptosphaeria species,FALSE,6189
6190,LEPYHOL,Lepyrodicli holosteoid,Lepyrodiclis holosteoides,FALSE,6190
6191,LEPY-SP,Lepyrodiclis species,Lepyrodiclis species,FALSE,6191
6192,LESCINC,Lescuraea incurvata,Lescuraea incurvata,FALSE,6192
6193,LESCMUT,Lescuraea mutabilis,Lescuraea mutabilis,FALSE,6193
6194,LESCPAT,Lescuraea patens,Lescuraea patens,FALSE,6194
6195,LESCRAD,Lescuraea radicosa,Lescuraea radicosa,FALSE,6195
6196,LESCSAV,Lescuraea saviana,Lescuraea saviana,FALSE,6196
6197,LESCSAX,Lescuraea saxicola,Lescuraea saxicola,FALSE,6197
6198,LESC-SP,Lescuraea species,Lescuraea species,FALSE,6198
6199,LESKPOL,Leskea polycarpa,Leskea polycarpa,FALSE,6199
6200,LESK-SP,Leskea species,Leskea species,FALSE,6200
6201,LESENER,Leskeella nervosa,Leskeella nervosa,FALSE,6201
6202,LESE-SP,Leskeella species,Leskeella species,FALSE,6202
6203,LETHVUL,Lethraria vulpina,Lethraria vulpina,FALSE,6203
6204,LETH-SP,Lethraria species,Lethraria species,FALSE,6204
6205,LEUCSER,Leucanthemell serotina,Leucanthemella serotina,FALSE,6205
6206,LEUC-SP,Leucanthemella species,Leucanthemella species,FALSE,6206
6207,LEUAALP,Leucanthemopsis alpina,Leucanthemopsis alpina,FALSE,6207
6208,LEUA-SP,Leucanthemopsi species,Leucanthemopsis species,FALSE,6208
6209,LEUNADU,Leucanthemum adustum,Leucanthemum adustum,FALSE,6209
6210,LEUNATR,Leucanthemum atratum,Leucanthemum atratum,FALSE,6210
6211,LEUN#AT,Leucanthe atratum agg.,Leucanthemum atratum agg.,FALSE,6211
6212,LEUNGAU,Leucanthemum gaudinii,Leucanthemum gaudinii,FALSE,6212
6213,LEUNHAL,Leucanthemum halleri,Leucanthemum halleri,FALSE,6213
6214,LEUNHET,Leucanthemu heterophyl,Leucanthemum heterophyllum,FALSE,6214
6215,LEUNIRC,Leucanthemu ircutianum,Leucanthemum ircutianum,FALSE,6215
6216,LEUNLIT,Leucanthemu lithopolit,Leucanthemum lithopolitanicum,FALSE,6216
6217,LEUNMAR,Leucanthemu margaritae,Leucanthemum margaritae,FALSE,6217
6218,LEUNROT,Leucanthemu rotundifol,Leucanthemum rotundifolium,FALSE,6218
6219,LEUN#VU,Leucanthe vulgare agg.,Leucanthemum vulgare agg.,FALSE,6219
6220,LEUNVUL,Leucanthemum vulgare,Leucanthemum vulgare,FALSE,6220
6221,LEUN-SP,Leucanthemum species,Leucanthemum species,FALSE,6221
6222,LEUOGLA,Leucobryum glaucum,Leucobryum glaucum,FALSE,6222
6223,LEUOJUN,Leucobryum juniperoide,Leucobryum juniperoideum,FALSE,6223
6224,LEUO-SP,Leucobryum species,Leucobryum species,FALSE,6224
6225,LEURBIA,Leucocarpia biatorella,Leucocarpia biatorella,FALSE,6225
6226,LEUR-SP,Leucocarpia species,Leucocarpia species,FALSE,6226
6227,LEUDIMM,Leucodon immersus,Leucodon immersus,FALSE,6227
6228,LEUDSCI,Leucodon sciuroides,Leucodon sciuroides,FALSE,6228
6229,LEUDS;M,Leuco sciur var. moren,Leucodon sciuroides var. morensis,FALSE,6229
6230,LEUDS;S,Leuco sciur var. sciur,Leucodon sciuroides var. sciuroides,FALSE,6230
6231,LEUD-SP,Leucodon species,Leucodon species,FALSE,6231
6232,LEUGPAL,Leucoglossum paludosum,Leucoglossum paludosum,FALSE,6232
6233,LEUG-SP,Leucoglossum species,Leucoglossum species,FALSE,6233
6234,LEUJAES,Leucojum aestivum,Leucojum aestivum,FALSE,6234
6235,LEUJVER,Leucojum vernum,Leucojum vernum,FALSE,6235
6236,LEUJ-SP,Leucojum species,Leucojum species,FALSE,6236
6237,LEVIOFF,Levisticum officinale,Levisticum officinale,FALSE,6237
6238,LEVI-SP,Levisticum species,Levisticum species,FALSE,6238
6239,LIBEMAL,Libertiella malmedyens,Libertiella malmedyensis,FALSE,6239
6240,LIBE-SP,Libertiella species,Libertiella species,FALSE,6240
6241,LICHCON,Lichenochor constricte,Lichenochora constrictella,FALSE,6241
6242,LICHINC,Lichenochor inconspicu,Lichenochora inconspicua,FALSE,6242
6243,LICHTHA,Lichenochora thallina,Lichenochora thallina,FALSE,6243
6244,LICH-SP,Lichenochora species,Lichenochora species,FALSE,6244
6245,LICECAR,Lichenoconi cargellian,Lichenoconium cargellianum,FALSE,6245
6246,LICEERO,Lichenoconium erodens,Lichenoconium erodens,FALSE,6246
6247,LICELEC,Lichenoconiu lecanorae,Lichenoconium lecanorae,FALSE,6247
6248,LICEPAR,Lichenoconi parasiticu,Lichenoconium parasiticum,FALSE,6248
6249,LICEPYX,Lichenoconiu pyxidatae,Lichenoconium pyxidatae,FALSE,6249
6250,LICEUSN,Lichenoconium usneae,Lichenoconium usneae,FALSE,6250
6251,LICEXAN,Lichenoconi xanthoriae,Lichenoconium xanthoriae,FALSE,6251
6252,LICE-SP,Lichenoconium species,Lichenoconium species,FALSE,6252
6253,LICNLEC,Lichenodipli lecanorae,Lichenodiplis lecanorae,FALSE,6253
6254,LICNLIC,Lichenodipl lichenicol,Lichenodiplis lichenicola,FALSE,6254
6255,LICN-SP,Lichenodiplis species,Lichenodiplis species,FALSE,6255
6256,LICOHAE,Lichenophom haematomma,Lichenophoma haematommatis,FALSE,6256
6257,LICO-SP,Lichenophoma species,Lichenophoma species,FALSE,6257
6258,LICPPOE,Lichenopuccini poeltii,Lichenopuccinia poeltii,FALSE,6258
6259,LICP-SP,Lichenopuccini species,Lichenopuccinia species,FALSE,6259
6260,LICSALC,Lichenostic alcicornia,Lichenosticta alcicorniaria,FALSE,6260
6261,LICS-SP,Lichenosticta species,Lichenosticta species,FALSE,6261
