"","species_nr","lettercode","synonym","turboveg_czechia_slovakia","kaplan","expert_system","nonvascular","n"
"835",979,"ASPRORI",FALSE,"Asperula orientalis","Asperula orientalis","Asperula orientalis",0,NA
"836",981,"ASPRP-P",FALSE,"Asperula purpurea ssp. purpurea","Asperula purpurea ssp. purpurea","Asperula purpurea ssp. purpurea",0,NA
"837",980,"ASPRPUR",FALSE,"Asperula purpurea","Asperula purpurea","Asperula purpurea",0,NA
"838",985,"ASPR-SP",FALSE,"Asperula species","Asperula species","Asperula species",0,NA
"839",982,"ASPRTAU",FALSE,"Asperula taurina","Asperula taurina","Asperula taurina",0,NA
"840",13097,"ASPRTIC",FALSE,"Asperula tinctoria ssp. hungarorum","Asperula tinctoria subsp. hungarorum","Asperula tinctoria subsp. hungarorum",0,NA
"841",984,"ASPRTIN",FALSE,"Asperula tinctoria","Asperula tinctoria","Asperula tinctoria",0,NA
"842",13098,"ASPRTIT",FALSE,"Asperula tinctoria ssp. tinctoria","Asperula tinctoria subsp. tinctoria","Asperula tinctoria subsp. tinctoria",0,NA
"843",983,"ASPRT-T",FALSE,"Asperula taurina ssp. taurina","Asperula taurina ssp. taurina","Asperula taurina ssp. taurina",0,NA
"844",13112,"ASTAALO",FALSE,"Astragalus alopecuroides","Astragalus alopecuroides","Astragalus alopecuroides",0,NA
"845",1084,"ASTAALP",FALSE,"Astragalus alpinus","Astragalus alpinus","Astragalus alpinus",0,NA
"846",1085,"ASTAARE",FALSE,"Astragalus arenarius","Astragalus arenarius","Astragalus arenarius",0,NA
"847",1086,"ASTAASP",FALSE,"Astragalus asper","Astragalus asper","Astragalus asper",0,NA
"848",1087,"ASTAAUS",FALSE,"Astragalus australis","Astragalus australis","Astragalus australis",0,NA
"849",1088,"ASTAAUT",FALSE,"Astragalus austriacus","Astragalus austriacus","Astragalus austriacus",0,NA
"850",1089,"ASTACIC",FALSE,"Astragalus cicer","Astragalus cicer","Astragalus cicer",0,NA
"851",1090,"ASTADAN",FALSE,"Astragalus danicus","Astragalus danicus","Astragalus danicus",0,NA
