RELEVE_NR,SPECIES_NR,COVER_CODE,LAYER,_ORIG_NAME
183120,705,+,6,
183120,2315,3,1,
183120,2315,2a,4,
183120,2315,+,7,
183120,3628,+,6,
183120,4283,+,6,
183120,5165,r,6,
183120,5353,r,6,
183120,6477,2m,6,
183120,6499,1,6,
183120,6941,r,6,
183120,8218,1,6,
183120,8375,+,6,
183120,8388,r,6,
183120,8851,4,1,
183120,8851,+,7,
183120,11287,+,7,
183120,12072,+,6,
183121,2022,+,6,
183121,2915,r,9,
183121,3586,1,9,
183121,3587,2m,9,
183121,3794,1,6,
183121,4283,+,6,
183121,4289,+,6,
183121,5137,r,6,
183121,5168,1,6,
183121,5363,2m,9,
183121,6477,2m,6,
183121,6674,+,6,
183121,6941,1,6,
183121,6999,+,6,
183121,8218,1,6,
183121,8388,1,6,
183121,8419,2m,9,
183121,8851,3,1,
183121,8851,2m,7,
183121,10337,+,7,
183121,10343,1,4,
183121,11735,4,6,
183122,84,r,7,
183122,249,+,6,
183122,1778,1,6,
183122,4283,1,6,
183122,4677,+,6,
183122,5127,+,6,
183122,5137,1,6,
183122,5165,+,6,
183122,5353,r,6,
183122,6477,2m,6,
183122,6499,1,6,
183122,6941,+,6,
183122,6999,r,6,
183122,8218,3,6,
183122,8653,r,7,
183122,8851,4,1,
183122,8851,2a,7,
183122,9695,r,7,
183122,10115,r,6,
183122,10205,2m,6,
183122,10337,r,7,
183122,10973,r,6,
183122,11833,+,6,
183122,12126,r,1,
183123,1775,r,6,
183123,2315,+,7,
183123,4568,2m,6,
183123,5137,+,6,
183123,5353,r,6,
183123,5730,+,6,
183123,6477,+,6,
183123,6674,1,6,
183123,8218,2b,6,
183123,8851,4,1,
183123,8851,3,7,
183123,10563,2m,6,
183123,11287,1,4,
183123,11287,+,7,
183123,11821,+,6,
183123,12126,+,1,
183124,80,+,7,
183124,2013,+,6,
183124,2315,2a,1,
183124,2315,1,4,
183124,2315,+,7,
183124,3628,1,6,
