RELEVE_NR,SPECIES_NR,COVER_CODE,LAYER,_ORIG_NAME
183160,11644,2a,6,
183161,80,r,7,
183161,83,+,1,
183161,83,r,7,
183161,84,+,1,
183161,84,+,7,
183161,188,r,6,
183161,193,3,6,
183161,478,3,1,
183161,961,2b,6,
183161,2290,r,6,
183161,2315,r,7,
183161,2791,+,6,
183161,3123,r,7,
183161,3191,+,6,
183161,4109,+,7,
183161,4271,+,6,
183161,4430,1,1,
183161,4430,+,7,
183161,4532,1,6,
183161,4552,r,6,
183161,4668,+,6,
183161,4677,+,6,
183161,4688,+,6,
183161,4710,+,6,
183161,5431,+,6,
183161,5432,+,6,
183161,6285,r,6,
183161,6696,r,6,
183161,6743,1,6,
183161,7001,+,6,
183161,7447,+,6,
183161,7552,2a,6,
183161,8590,+,6,
183161,8782,+,6,
183161,8851,r,1,
183161,8945,+,6,
183161,9201,+,7,
183161,9693,+,7,
183161,10530,2a,6,
183161,11602,2a,1,
183161,11602,+,7,
183161,11644,+,6,
183162,80,+,7,
183162,83,+,7,
183162,84,+,7,
183162,249,+,6,
183162,647,+,6,
183162,961,+,6,
183162,1451,r,6,
183162,1506,r,6,
183162,2018,+,6,
183162,2206,2m,6,
183162,2271,3,6,
183162,2315,4,1,
183162,2315,+,4,
183162,2315,+,7,
183162,3067,+,6,
183162,3169,+,7,
183162,4109,r,7,
183162,4111,+,7,
183162,4123,+,6,
183162,4220,+,7,
183162,4419,+,6,
183162,4430,+,7,
183162,4584,+,6,
183162,4991,2a,6,
183162,5137,+,6,
183162,5165,+,6,
183162,5611,2m,6,
183162,5717,+,6,
183162,5730,+,6,
183162,6674,r,6,
183162,6693,+,6,
183162,6710,+,6,
183162,8019,1,6,
183162,8039,+,6,
183162,8218,+,6,
183162,8374,+,6,
183162,8599,r,6,
183162,8653,+,7,
183162,8669,r,7,
183162,8782,1,6,
183162,8851,1,1,
183162,8851,+,7,
183162,8945,+,6,
183162,9408,r,7,
183162,10563,+,6,
183162,10707,r,6,
183162,11287,1,1,
183162,11287,+,4,
183162,11287,r,7,
183162,12101,+,6,
183162,12109,+,6,
183162,12276,+,6,
183163,84,2a,4,
183163,84,+,7,
183163,193,2m,6,
183163,249,1,6,
183163,478,4,1,
183163,478,+,7,
183163,647,r,6,
183163,961,+,6,
183163,1451,r,6,
183163,1952,+,6,
183163,2118,+,6,
183163,2123,r,6,
183163,2279,1,6,
183163,2290,1,6,
183163,2315,+,7,
183163,2809,+,6,
183163,3093,+,4,
183163,3169,r,7,
183163,3191,2a,6,
183163,4109,+,4,
183163,4109,+,7,
183163,4341,r,6,
183163,4419,r,6,
183163,4430,+,7,
183163,4532,1,6,
183163,4552,r,6,
183163,4568,2a,6,
183163,4668,r,6,
183163,4677,r,6,
183163,4688,+,6,
183163,4710,1,6,
183163,5432,+,6,
183163,6526,+,6,
183163,7447,+,6,
183163,8374,r,6,
183163,8663,2a,1,
183163,8663,2a,4,
183163,8663,1,7,
183163,8782,+,6,
183163,8945,+,6,
183163,8963,+,6,
183163,9201,r,7,
183163,9437,r,6,
183163,9559,r,6,
183163,9573,+,6,
183163,9663,+,1,
183163,9693,2a,4,
183163,9693,+,7,
183163,9987,+,6,
183163,10267,1,6,
183163,10530,2a,6,
183163,11287,+,1,
183163,11644,+,6,
183163,11816,+,6,
183163,12024,+,7,
183163,12109,r,6,
183163,12270,2b,6,
183164,80,r,7,
183164,83,2a,1,
183164,83,r,7,
183164,84,2a,1,
183164,167,+,6,
183164,961,+,6,
183164,1048,r,6,
183164,3123,2b,4,
183164,3346,+,6,
183164,3794,2a,6,
183164,4109,+,7,
183164,4430,+,7,
183164,4532,2b,6,
183164,5431,+,6,
183164,5432,r,6,
183164,6285,r,6,
183164,8388,r,6,
183164,8782,+,6,
183164,9201,2m,7,
183164,9693,+,4,
183164,9693,r,7,
183164,10533,2b,4,
183164,11287,+,1,
183164,11288,2a,1,
183164,11602,3,1,
183164,11602,+,4,
183164,11644,2a,6,
183165,80,1,1,
183165,80,r,4,
183165,84,3,1,
183165,84,1,4,
183165,167,+,6,
183165,193,1,6,
183165,435,r,6,
183165,961,+,6,
183165,3794,1,6,
183165,3972,r,6,
183165,4532,2m,6,
183165,4568,2a,6,
183165,4677,2a,6,
183165,4688,+,6,
183165,4710,r,6,
183165,5431,2a,6,
183165,5432,2a,6,
183165,5664,2a,6,
183165,6941,+,6,
183165,7447,+,6,
183165,8218,r,6,
183165,8388,1,6,
183165,8782,1,6,
183165,9693,2a,4,
183165,10563,+,6,
183165,10685,+,6,
183165,11288,2a,1,
183165,11288,+,4,
183165,11288,+,7,
183165,11602,2a,4,
183165,11602,+,7,
183165,11644,2m,6,
183165,12101,+,6,
183166,83,2b,1,
183166,83,1,4,
183166,83,r,7,
183166,84,2b,1,
183166,84,1,4,
183166,84,r,7,
183166,193,1,6,
183166,249,r,6,
183166,961,+,6,
183166,1128,1,6,
183166,2315,+,1,
183166,3794,1,6,
183166,4532,2b,6,
183166,4677,+,6,
183166,5431,+,6,
183166,5432,1,6,
183166,5664,2m,6,
183166,7001,r,6,
183166,7447,+,6,
183166,8218,r,6,
183166,8388,+,6,
183166,8782,+,6,
183166,9693,1,4,
183166,9693,+,7,
183166,11287,3,1,
183166,11288,+,4,
183166,11602,1,1,
183166,11602,r,4,
183166,11644,+,6,
183167,80,+,7,
183167,83,+,7,
183167,167,r,6,
183167,1506,+,6,
183167,1775,+,6,
183167,2013,r,6,
183167,2018,+,6,
183167,2123,+,6,
183167,2206,+,6,
183167,2250,r,6,
183167,2315,1,7,
183167,3346,r,6,
183167,3453,1,6,
183167,3794,2m,6,
183167,4419,+,6,
183167,4430,+,7,
183167,4532,1,6,
183167,4568,2a,6,
183167,4584,+,6,
183167,4677,+,6,
183167,4922,+,6,
183167,4991,+,6,
183167,5137,+,6,
183167,5432,1,6,
183167,5611,r,6,
183167,5730,+,6,
183167,6386,+,7,
183167,6477,2m,6,
183167,6693,2m,6,
183167,6743,2a,6,
183167,6887,+,6,
183167,6999,r,6,
183167,8218,+,6,
183167,8851,3,1,
183167,8851,1,7,
183167,10563,+,6,
183167,11287,3,1,
183167,11287,2a,4,
183167,11287,+,7,
183167,11644,+,6,
183167,12109,+,6,
183168,80,1,1,
183168,83,2b,1,
183168,83,1,7,
183168,84,+,7,
183168,2315,2b,1,
183168,2315,+,7,
183168,3453,2m,6,
183168,3794,2a,6,
183168,4568,2m,6,
183168,5431,r,6,
183168,5432,2m,6,
183168,6696,2m,6,
183168,8218,1,6,
183168,8388,+,6,
183168,8851,+,1,
183168,8851,+,7,
183168,9201,+,7,
183168,11287,2a,1,
183168,11287,2m,4,
183169,80,1,1,
183169,80,+,7,
183169,83,+,1,
183169,83,+,7,
183169,84,r,7,
183169,647,+,6,
183169,786,+,6,
183169,1048,+,6,
183169,1451,2m,6,
183169,1506,r,6,
183169,1748,+,6,
183169,1775,+,6,
183169,2013,+,6,
183169,2018,+,6,
183169,2022,r,6,
183169,2032,r,6,
183169,2206,1,6,
183169,2246,1,6,
183169,2250,+,6,
183169,2315,3,1,
183169,2315,+,4,
183169,2315,r,7,
183169,2456,r,6,
183169,2954,r,6,
183169,3067,2a,6,
183169,3092,1,4,
183169,3123,+,4,
183169,3123,r,7,
183169,3169,r,7,
183169,3367,+,6,
183169,3428,r,6,
183169,3628,+,6,
183169,4111,1,4,
183169,4111,+,7,
183169,4122,+,6,
183169,4123,r,6,
183169,4220,+,7,
183169,4420,+,6,
183169,4430,+,7,
183169,4548,+,6,
183169,4584,r,6,
183169,4614,r,6,
183169,4710,+,6,
183169,4991,1,6,
183169,5137,+,6,
183169,5148,+,6,
183169,5165,r,6,
183169,5352,r,6,
183169,5717,r,6,
183169,5730,+,6,
183169,6279,+,7,
183169,6285,+,6,
183169,6386,+,7,
183169,6673,+,6,
183169,6693,1,6,
183169,6710,r,6,
183169,6743,+,6,
183169,6999,r,6,
183169,7073,r,6,
183169,7806,r,6,
183169,8039,+,6,
183169,8218,1,6,
183169,8222,+,6,
183169,8375,+,6,
183169,8388,2m,6,
183169,8599,1,6,
183169,8779,+,6,
183169,8851,+,7,
183169,8928,+,6,
183169,9049,+,7,
183169,9408,r,7,
183169,10005,r,6,
183169,10021,+,6,
183169,10205,+,6,
183169,10337,r,7,
183169,10350,2m,1,
183169,10350,+,7,
183169,10563,+,6,
183169,10707,+,6,
183169,10973,r,6,
183169,11102,+,6,
183169,11287,2b,1,
183169,11287,1,4,
183169,11854,1,6,
183169,12053,r,6,
183169,12072,+,6,
183169,12097,+,6,
183169,12101,+,6,
183170,80,2m,1,
183170,83,r,7,
183170,84,+,7,
183170,193,1,6,
183170,249,r,6,
183170,647,+,6,
183170,961,2a,6,
183170,1451,+,6,
183170,1506,r,6,
183170,2018,+,6,
183170,2206,r,6,
183170,2271,3,6,
183170,2290,+,6,
183170,2315,3,1,
183170,2315,+,7,
183170,2634,r,6,
183170,3067,+,6,
183170,3867,+,6,
183170,4109,+,7,
183170,4123,+,6,
183170,4430,2a,1,
183170,4430,+,7,
183170,4532,1,6,
183170,4568,1,6,
183170,4668,+,6,
183170,4688,r,6,
183170,4991,1,6,
183170,5000,r,6,
183170,5664,+,6,
183170,5730,+,6,
183170,6285,+,6,
183170,6545,+,6,
183170,7447,1,6,
183170,7552,1,6,
183170,7806,r,6,
183170,8374,1,6,
183170,8429,+,7,
183170,8590,+,6,
183170,8782,2a,6,
183170,8945,+,6,
183170,10563,+,6,
183170,10685,+,6,
183170,12059,r,6,
183170,12097,r,6,
183170,12101,+,6,
183170,12109,+,6,
183171,80,2a,1,
183171,80,2m,7,
183171,83,+,1,
183171,83,r,7,
183171,435,r,6,
183171,449,r,6,
183171,705,1,6,
183171,1451,+,6,
183171,1506,+,6,
183171,1748,+,6,
183171,2018,r,6,
183171,2206,2m,6,
183171,2246,2b,6,
183171,2315,3,1,
183171,2315,1,4,
183171,2315,r,7,
183171,2455,r,6,
183171,2457,r,6,
183171,2954,+,6,
183171,3067,2b,6,
183171,3169,r,7,
183171,3867,+,6,
183171,4111,+,7,
183171,4419,r,6,
183171,4420,+,6,
183171,4430,+,4,
183171,4430,+,7,
183171,4552,r,6,
183171,4568,+,6,
183171,4688,+,6,
183171,4922,r,6,
183171,4991,+,6,
183171,6386,+,4,
183171,6386,+,7,
183171,6693,1,6,
183171,6696,1,6,
183171,7073,r,6,
183171,8375,2a,6,
183171,8653,r,7,
183171,8851,1,1,
183171,8851,+,7,
183171,9049,r,7,
183171,10021,+,6,
183171,10350,r,7,
183171,10563,1,6,
183171,11288,r,7,
183171,12072,+,6,
183171,12097,+,6,
183171,12101,+,6,
183172,80,2m,1,
183172,83,1,1,
183172,83,+,7,
183172,84,2b,1,
183172,167,2a,6,
183172,193,r,6,
183172,961,1,6,
183172,1048,+,6,
183172,2018,r,6,
183172,2032,r,6,
183172,2315,1,1,
183172,2315,1,4,
183172,3123,+,4,
183172,3346,+,6,
183172,4109,+,7,
183172,4111,1,4,
183172,4430,3,1,
183172,4430,1,4,
183172,4430,+,7,
183172,4532,1,6,
183172,4538,r,6,
183172,4584,+,6,
183172,4677,r,6,
183172,4991,1,6,
183172,5000,r,6,
183172,5431,r,6,
183172,5432,+,6,
183172,5730,+,6,
183172,6285,r,6,
183172,6386,+,4,
183172,6386,+,7,
183172,6454,3,6,
183172,6545,r,6,
183172,6743,1,6,
183172,6941,r,6,
183172,7447,+,6,
183172,7552,r,6,
183172,8374,1,6,
183172,8388,+,6,
183172,8782,+,6,
183172,8945,r,6,
183172,9201,1,4,
183172,9201,+,7,
183172,10563,r,6,
183172,11602,1,1,
183172,11602,+,7,
183172,12101,r,6,
183173,80,+,4,
183173,80,+,7,
183173,83,+,1,
183173,83,+,7,
183173,84,2b,1,
183173,84,+,4,
183173,84,r,7,
183173,133,2m,6,
183173,435,+,6,
183173,1048,r,6,
183173,2013,r,6,
183173,2123,r,6,
183173,2206,+,6,
183173,2250,+,6,
183173,2315,r,7,
183173,2639,+,6,
183173,3067,+,6,
183173,3123,r,4,
183173,3453,1,6,
183173,3988,r,6,
183173,4109,+,7,
183173,4220,3,1,
183173,4220,2a,4,
183173,4220,+,7,
183173,4430,3,1,
183173,4430,1,7,
183173,4532,1,6,
183173,4552,r,6,
183173,4568,2a,6,
183173,4584,+,6,
183173,4677,+,6,
183173,4688,r,6,
183173,4991,+,6,
183173,5432,2m,6,
183173,5664,2a,6,
183173,5730,+,6,
183173,6545,+,6,
183173,6743,1,6,
183173,6887,+,6,
183173,6999,r,6,
183173,7232,+,6,
183173,8218,r,6,
183173,8374,+,6,
183173,8653,+,7,
183173,8782,+,6,
183173,8945,r,6,
183173,9201,+,7,
183173,9693,1,4,
183173,9693,r,7,
183173,10563,2a,6,
183173,11602,2a,4,
183173,11602,+,7,
183173,11644,+,6,
183173,12097,+,6,
183173,12101,r,6,
183174,80,1,1,
183174,80,+,7,
183174,83,+,7,
183174,84,1,1,
183174,84,+,7,
183174,647,+,6,
183174,1451,1,6,
183174,1506,+,6,
183174,2013,+,6,
183174,2032,+,6,
183174,2206,2m,6,
183174,2271,3,6,
183174,2315,3,1,
183174,2315,+,7,
183174,2954,+,6,
183174,3093,+,7,
183174,3169,r,4,
183174,3169,r,7,
183174,3367,+,6,
183174,3453,+,6,
183174,3628,+,6,
183174,3867,+,6,
183174,4109,+,7,
183174,4111,1,7,
183174,4220,r,4,
183174,4220,+,7,
183174,4420,+,6,
183174,4430,1,1,
183174,4430,1,7,
183174,4568,+,6,
183174,4584,1,6,
183174,4688,r,6,
183174,4991,1,6,
183174,5137,r,6,
183174,5717,+,6,
183174,5730,+,6,
183174,6285,r,6,
183174,6386,r,7,
183174,6673,1,6,
183174,6693,+,6,
183174,6696,2a,6,
183174,6710,+,6,
183174,6743,1,6,
183174,7073,r,6,
183174,8218,2m,6,
183174,8653,+,7,
183174,8782,+,6,
183174,9705,+,6,
183174,10350,1,7,
183174,10563,+,6,
183174,11288,+,7,
183174,11602,+,7,
183174,11822,r,6,
183174,12072,+,6,
183174,12101,r,6,
183174,12110,+,6,
183175,80,+,4,
183175,80,+,7,
183175,83,+,7,
183175,84,2m,1,
183175,84,2b,4,
183175,84,+,7,
183175,193,3,6,
183175,249,+,6,
183175,435,+,6,
183175,478,3,1,
183175,478,r,7,
183175,961,1,6,
183175,1451,r,6,
183175,2032,+,6,
183175,2315,2m,1,
183175,2315,r,7,
183175,2634,r,6,
183175,3993,r,6,
183175,4109,+,4,
183175,4109,r,7,
183175,4271,r,6,
183175,4341,+,6,
183175,4430,2m,1,
183175,4430,+,4,
183175,4532,2b,6,
183175,4552,r,6,
183175,4688,+,6,
183175,5431,2a,6,
183175,5432,1,6,
183175,5664,2b,6,
183175,6887,r,6,
183175,7001,3,6,
183175,8782,1,6,
183175,8963,r,6,
183175,9437,r,6,
183175,9693,+,4,
183175,9693,r,7,
183175,10530,2a,6,
183175,10563,+,6,
183175,11602,+,4,
183175,11602,+,7,
183175,11644,2a,6,
183175,12109,r,6,
183176,1,r,7,
183176,80,+,1,
183176,80,+,7,
183176,84,3,1,
183176,84,2m,7,
183176,249,+,6,
183176,435,+,6,
183176,651,r,6,
183176,961,1,6,
183176,1128,+,6,
183176,2013,r,6,
183176,2032,+,6,
183176,2123,+,6,
183176,2206,1,6,
183176,2315,3,1,
183176,2315,+,7,
183176,3367,+,6,
183176,3794,2a,6,
183176,4430,+,7,
183176,4532,2b,6,
183176,4568,2a,6,
183176,4677,1,6,
183176,4688,r,6,
183176,5431,r,6,
183176,5432,2m,6,
183176,6693,+,6,
183176,6887,+,6,
183176,6941,+,6,
183176,6999,r,6,
183176,7447,+,6,
183176,8218,+,6,
183176,8782,1,6,
183176,8851,+,1,
183176,8851,+,7,
183176,9437,+,6,
183176,9693,+,7,
183176,10107,r,6,
183176,11644,+,6,
183176,12109,+,6,
183177,193,+,6,
183177,195,r,7,
183177,249,+,6,
183177,435,+,6,
183177,478,4,1,
183177,478,2a,4,
183177,651,r,6,
183177,1128,1,6,
183177,1390,+,6,
183177,1451,1,6,
183177,1952,+,6,
183177,2118,+,6,
183177,2168,2b,6,
183177,2279,1,6,
183177,2315,r,4,
183177,2315,+,7,
183177,2759,r,6,
183177,2794,1,6,
183177,3123,r,4,
183177,3191,+,6,
183177,3967,+,6,
183177,3993,+,6,
183177,4109,r,4,
183177,4115,+,6,
183177,4220,+,7,
183177,4271,1,6,
183177,4341,+,6,
183177,4419,+,6,
183177,4426,+,4,
183177,4430,+,4,
183177,4532,r,6,
183177,4540,r,6,
183177,4552,r,6,
183177,4667,+,6,
183177,4677,+,6,
183177,4688,+,6,
183177,4709,+,6,
183177,5431,1,6,
183177,5432,+,6,
183177,5537,+,6,
183177,6520,+,6,
183177,6526,+,6,
183177,6529,2m,6,
183177,6545,r,6,
183177,6718,+,6,
183177,6887,+,6,
183177,6941,+,6,
183177,7447,+,6,
183177,7718,+,6,
183177,8653,+,4,
183177,8851,r,7,
183177,8916,r,6,
183177,8945,r,6,
183177,8963,1,6,
183177,9459,1,4,
183177,9476,2a,4,
183177,9573,+,6,
183177,9693,2a,4,
183177,9922,2b,6,
183177,10267,1,6,
183177,10337,r,7,
183177,10530,1,6,
183177,10970,r,6,
183177,11644,+,6,
183177,11816,+,6,
183177,12024,+,4,
183177,12024,+,7,
183177,12056,r,6,
183177,12110,+,6,
183177,12270,2m,6,
183178,84,3,1,
183178,84,+,7,
183178,167,+,6,
183178,961,1,6,
183178,1048,+,6,
183178,2018,+,6,
183178,3123,3,1,
183178,3123,2m,4,
183178,3346,r,6,
183178,3794,+,6,
183178,4220,2b,1,
183178,4220,+,4,
183178,4220,+,7,
183178,4430,r,7,
183178,4532,+,6,
183178,4568,1,6,
183178,4584,r,6,
183178,4677,r,6,
183178,4991,+,6,
183178,5431,+,6,
183178,5432,r,6,
183178,5730,+,6,
183178,6285,r,6,
183178,6454,4,6,
183178,6743,+,6,
183178,7447,+,6,
183178,8782,+,6,
183178,9201,+,7,
183178,9693,2m,4,
183178,11288,1,1,
183178,11602,+,4,
183178,11644,+,6,
183179,1,r,7,
183179,80,+,4,
183179,80,+,7,
183179,83,+,7,
183179,84,2a,1,
183179,84,r,4,
183179,188,r,6,
183179,193,3,6,
183179,195,2m,4,
183179,234,r,6,
183179,249,+,6,
183179,435,r,6,
183179,478,3,1,
183179,1128,1,6,
183179,1451,+,6,
183179,2118,r,6,
183179,2290,r,6,
183179,2315,r,1,
183179,2638,2m,6,
183179,2688,r,6,
183179,3123,r,4,
183179,3191,1,6,
183179,3346,r,6,
183179,3453,r,6,
183179,3794,+,6,
183179,3993,+,6,
183179,4271,r,6,
183179,4341,1,6,
183179,4430,3,1,
183179,4430,r,4,
183179,4430,1,7,
183179,4532,1,6,
183179,4668,+,6,
183179,4688,+,6,
183179,4709,1,6,
183179,5431,+,6,
183179,5432,r,6,
183179,7001,2b,6,
183179,7447,+,6,
183179,8590,2m,6,
183179,8782,+,6,
183179,8945,1,6,
183179,9693,+,7,
183179,10530,+,6,
183179,11602,1,1,
183179,11602,2m,4,
183179,11602,+,7,
183179,11644,+,6,
183179,12024,+,7,
183180,80,r,1,
183180,83,2a,1,
183180,83,r,7,
183180,84,3,1,
183180,84,1,4,
183180,435,+,6,
183180,961,+,6,
183180,2123,r,6,
183180,2315,1,1,
183180,3123,1,4,
183180,3794,+,6,
183180,4111,+,7,
183180,4430,3,1,
183180,4430,r,7,
183180,4532,r,6,
183180,4568,r,6,
183180,4677,r,6,
183180,4709,+,6,
183180,5431,1,6,
183180,5432,1,6,
183180,5664,2a,6,
183180,6454,4,6,
183180,6696,r,6,
183180,7447,r,6,
183180,8388,+,6,
183180,8782,+,6,
183180,9201,+,7,
183180,9693,+,4,
183180,9694,+,4,
183180,10563,1,6,
183180,11288,1,1,
183180,11602,2a,1,
183180,11602,1,4,
183180,11602,+,7,
183180,11644,1,6,
183181,193,+,6,
183181,234,1,6,
183181,249,+,6,
183181,478,3,1,
183181,478,+,7,
183181,479,3,1,
183181,479,1,4,
183181,479,r,7,
183181,660,+,6,
183181,1128,+,6,
183181,1451,2a,6,
183181,1952,+,6,
183181,2118,+,6,
183181,2154,r,6,
183181,2250,2m,6,
183181,2279,2b,6,
183181,2638,2b,6,
183181,2759,+,6,
183181,2810,r,6,
183181,3191,1,6,
183181,3428,r,6,
183181,3473,2m,6,
183181,3792,1,6,
183181,3967,+,6,
183181,3993,+,6,
183181,3999,+,6,
183181,4220,r,7,
183181,4271,1,6,
183181,4341,r,6,
183181,4538,r,6,
183181,4570,+,6,
183181,4677,r,6,
183181,4688,+,6,
183181,4719,+,6,
183181,5431,1,6,
183181,5432,r,6,
183181,5537,+,6,
183181,6520,+,6,
183181,6526,+,6,
183181,6529,1,6,
183181,6716,1,6,
183181,7447,+,6,
183181,7718,+,6,
183181,8219,+,6,
183181,8963,+,6,
183181,9459,+,6,
183181,9476,r,6,
183181,9559,1,6,
183181,9985,+,6,
183181,9993,+,6,
183181,10107,+,6,
183181,10205,+,6,
183181,10267,3,6,
183181,10530,+,6,
183181,10561,+,6,
183181,10563,+,6,
183181,10970,+,6,
183181,11644,1,6,
183181,11745,1,6,
183181,11816,+,6,
183181,11822,r,6,
183181,12110,r,6,
183181,12270,1,6,
183181,12276,r,6,
183181,50039,r,6,
183182,84,+,4,
183182,84,+,7,
183182,193,+,6,
183182,234,+,6,
183182,249,1,6,
183182,419,r,6,
183182,478,3,1,
183182,478,+,4,
183182,479,2a,1,
183182,479,r,7,
183182,1128,1,6,
183182,1952,+,6,
183182,2118,+,6,
183182,2168,2b,6,
183182,2250,+,6,
183182,2279,1,6,
183182,2315,r,7,
183182,2638,1,6,
183182,2759,+,6,
183182,3191,+,6,
183182,3792,+,6,
183182,3967,+,6,
183182,3993,+,6,
183182,4109,+,4,
183182,4115,+,6,
183182,4123,+,6,
183182,4271,+,6,
183182,4341,1,6,
183182,4430,+,4,
183182,4430,+,7,
183182,4532,r,6,
183182,4538,+,6,
183182,4552,+,6,
183182,4558,+,6,
183182,4570,+,6,
183182,4667,+,6,
183182,4677,+,6,
183182,4688,r,6,
183182,5431,1,6,
183182,5432,+,6,
183182,5537,2a,6,
183182,5611,r,6,
183182,6386,r,7,
183182,6520,1,6,
183182,6526,+,6,
183182,6529,2m,6,
183182,6533,1,6,
183182,6716,+,6,
183182,7001,2m,6,
183182,7447,+,6,
183182,7552,r,6,
183182,7718,r,6,
183182,8026,r,1,
183182,8026,r,7,
183182,8218,+,6,
183182,8219,+,6,
183182,8590,+,6,
183182,8782,+,6,
183182,8963,1,6,
183182,9459,+,6,
183182,9476,1,4,
183182,9476,1,6,
183182,9559,+,6,
183182,9628,+,1,
183182,9693,1,4,
183182,9694,r,4,
183182,9922,+,6,
183182,9993,1,6,
183182,10205,+,6,
183182,10267,2a,6,
183182,10337,r,7,
183182,10530,1,6,
183182,10563,+,6,
183182,10970,+,6,
183182,11644,2a,6,
183182,11816,1,6,
183182,12024,+,4,
183182,12109,r,6,
183182,12270,1,6,
1,80,2b,1,
1,80,+,7,
1,83,r,7,
1,651,+,6,
1,1506,r,6,
1,2206,1,6,
1,2246,r,6,
1,2248,+,6,
1,2315,+,7,
1,2455,r,6,
1,3067,2m,6,
1,3092,2a,4,
1,3123,r,7,
1,3154,+,4,
1,3169,+,7,
1,4111,1,7,
1,4419,r,6,
1,4430,+,7,
1,4584,1,6,
1,4677,r,6,
1,4688,+,6,
1,4991,1,6,
1,5127,+,6,
1,5137,+,6,
1,6279,+,7,
1,6386,1,4,
1,6545,r,6,
1,6693,+,6,
1,8164,r,6,
1,8218,+,6,
1,8375,+,6,
1,8599,r,6,
1,8653,r,7,
1,8779,r,6,
1,8851,4,1,
1,8851,2m,7,
1,9049,r,7,
1,9408,r,7,
1,9459,+,6,
1,9705,r,6,
1,12072,r,6,
1,12097,r,6,
1,12101,+,6,
1,12109,1,6,
2,2206,+,6,
2,2315,1,7,
2,3351,r,6,
2,4283,1,6,
2,4430,r,7,
2,4577,r,6,
2,5127,1,6,
2,5137,+,6,
2,5165,r,6,
2,5353,r,6,
2,6477,2b,6,
2,6674,+,6,
2,6696,+,6,
2,8218,1,6,
2,8851,4,1,
2,8851,2a,7,
2,11833,r,6,
3,2013,r,6,
3,3067,1,6,
3,4283,2m,6,
3,4568,+,6,
3,4574,+,6,
3,4577,+,6,
3,5127,+,6,
3,5137,1,6,
3,6477,1,6,
3,6674,2m,6,
3,6696,+,6,
3,8218,2m,6,
3,8851,4,1,
3,8851,2m,7,
3,10106,r,6,
3,11821,r,6,
4,705,1,6,
4,2315,2b,1,
4,2315,+,7,
4,3351,r,6,
4,3794,r,6,
4,4220,r,7,
4,4283,r,6,
4,4430,+,7,
4,4614,r,6,
4,5127,+,6,
4,5137,1,6,
4,5165,+,6,
4,5352,r,6,
4,5432,r,6,
4,6710,r,6,
4,8218,2m,6,
4,8653,+,7,
4,8851,3,1,
4,8851,2a,7,
4,10021,r,6,
4,11833,r,6,
4,12072,+,6,
5,227,2m,6,
5,247,+,6,
5,1775,+,6,
5,2235,+,6,
5,4228,r,6,
5,4283,2m,6,
5,5127,+,6,
5,5353,r,6,
5,6477,1,6,
5,6710,r,6,
5,8218,2b,6,
5,8375,+,6,
5,8851,4,1,
5,8851,1,7,
5,12072,r,6,
6,247,+,6,
6,435,1,6,
6,449,r,6,
6,2250,+,6,
6,4228,2m,6,
6,4589,r,6,
6,4709,1,6,
6,5353,r,6,
6,5680,1,6,
6,6279,+,4,
6,6279,+,7,
6,6887,+,6,
6,6999,+,6,
6,8218,3,6,
6,8375,+,6,
6,8851,3,1,
6,8851,2m,7,
6,9408,+,4,
6,9408,r,7,
6,11644,r,6,
6,12072,2m,6,
6,12093,1,6,
7,227,+,6,
7,247,r,6,
7,435,r,6,
7,1778,r,6,
7,2246,+,6,
7,2250,r,6,
7,3169,+,7,
7,4228,1,6,
7,4283,1,6,
7,5353,+,6,
7,6279,+,7,
7,6887,+,6,
7,8201,r,6,
7,8218,3,6,
7,8851,4,1,
7,8851,2a,7,
7,9408,+,7,
7,9459,+,6,
7,11288,r,7,
7,11821,+,6,
7,12072,1,6,
7,12093,+,6,
7,12109,1,6,
8,227,+,6,
8,1775,3,6,
8,2246,2m,6,
8,2248,2a,6,
8,2250,+,6,
8,3067,+,6,
8,4275,1,6,
8,4283,1,6,
8,4419,+,6,
8,4568,1,6,
8,4574,+,6,
8,4575,+,6,
8,5730,+,6,
8,6477,+,6,
8,6693,1,6,
8,8201,1,6,
8,8218,2b,6,
8,8851,3,1,
8,8851,2m,7,
8,9985,r,6,
8,11287,3,1,
8,11833,+,6,
8,12056,r,6,
8,12109,+,6,
9,80,+,4,
9,80,+,7,
9,83,1,1,
9,83,+,7,
9,1048,+,6,
9,1447,r,6,
9,2013,+,6,
9,2315,2b,1,
9,2315,2a,4,
9,2315,+,7,
9,4111,1,4,
9,4283,+,6,
9,4589,+,6,
9,5137,2m,6,
9,5165,+,6,
9,6386,+,4,
9,6477,2m,6,
9,8218,2m,6,
9,8388,1,6,
9,8851,3,1,
9,8851,1,4,
9,8851,1,7,
9,10021,1,6,
9,10563,1,6,
9,10707,1,6,
9,11287,1,4,
9,11821,+,6,
9,12072,+,6,
10,2013,r,6,
10,2235,1,6,
10,2246,r,6,
10,3169,r,7,
10,3628,r,6,
10,4111,1,7,
10,4122,+,6,
10,4283,+,6,
10,4614,1,6,
10,5353,+,6,
10,6499,r,6,
10,8218,3,6,
10,8851,4,1,
10,8851,3,7,
10,9408,r,7,
10,10707,+,6,
10,11477,+,6,
10,11783,+,6,
10,12072,2a,6,
11,83,r,7,
11,705,+,6,
11,2315,3,1,
11,2315,2a,4,
11,2315,+,7,
11,3628,+,6,
11,4283,+,6,
11,5165,r,6,
11,5353,r,6,
